input_es,input_en,icd11_code,icd11_title,icd11_uri,icd10cm_code,icd10cm_term
HERNIA UMBILICAL .,UMBILICAL HERNIA.,,,,K42.1,Umbilical hernia with gangrene
HTA esencial,essential hypertension,,,,I10,Essential (primary) hypertension
Diabetes mellitus tipo 2 descompensada,Decompensated type 2 diabetes mellitus,,,,E10.65,Type 1 diabetes mellitus with hyperglycemia
Asma bronquial persistente moderada,Moderate persistent bronchial asthma,,,,J45.40,"Moderate persistent asthma, uncomplicated"
EXPLOSION DE POLVORA EN MANO IZQUIERDA.,POWDER EXPLOSION IN LEFT HAND.,,,,M79.642,Pain in left hand
ADENOMIOSIS,ADENOMIOSIS,,,,,
FRACTURA DE CLAVICULA.,CLAVICLE FRACTURE.,,,,P13.4,Fracture of clavicle due to birth injury
HPB,HPB,,,,,
EMB A TERMINO .,EMB FINISHED.,,,,G95.11,Acute infarction of spinal cord (embolic) (nonembolic)
VOMITO Y DIARREA CRONICA,VOMITING AND CHRONIC DIARRHEA,,,,A24.2,Subacute and chronic melioidosis
OTITIS MEDIA CRONICA,CHRONIC OTITIS MEDIA,,,,H65.23,"Chronic serous otitis media, bilateral"
TUMOR BENIGNO MAMA IZQUIERDA,BENIGN LEFT BREAST TUMOR,,,,D24.2,Benign neoplasm of left breast
HERNIA DISCAL,DISC HERNIATION,,,,H47.313,"Coloboma of optic disc, bilateral"
FIMOSIS,PHIMOSIS,,,,N47.1,Phimosis
HIPOTONÍA .,HYPOTONIA.,,,,P94.2,Congenital hypotonia
QUISTE PANCREAS,PANCREAS CYST,,,,K86.2,Cyst of pancreas
CA DE TIROIDES,THYROID CA,,,,A18.81,Tuberculosis of thyroid gland
LESION HOMBRO DER,RIGHT SHOULDER INJURY,,,,S40.911S,"Unspecified superficial injury of right shoulder, sequela"
HERNIA UMBILICAL,UMBILICAL HERNIA,,,,K42.1,Umbilical hernia with gangrene
LITIASIS RENAL,KIDNEY LITHIASIS,,,,N26.2,Page kidney
TUMOR BENIGNO MAMA IZQ,LEFT BENIGN BREAST TUMOR,,,,D24.2,Benign neoplasm of left breast
LISTIASIS VESICAL,BLADDER LISTIASIS,,,,N32.81,Overactive bladder
CA DE MAMA,MAMA'S CA,,,,M20.099,"Other deformity of finger(s), unspecified finger(s)"
HEMORRAGIA DE VIAS DIGESTIVAS ALTAS,UPPER DIGESTIVE TRACT HEMORRHAGE,,,,J39.9,"Disease of upper respiratory tract, unspecified"
HIPERTENSION PULMONAR SEVERA .,SEVERE PULMONARY HYPERTENSION.,,,,I27.0,Primary pulmonary hypertension
TUMOR MALIGNO DE VÍAS BILIARES,Malignant bile duct tumor,,,,C24.0,Malignant neoplasm of extrahepatic bile duct
ESTENOSIS AORTICA Y ANEURISMA AORTA TIPO A,AORTIC STENOSIS AND TYPE A AORTA ANEURYSM,,,,I06.0,Rheumatic aortic stenosis
"ABDOMEN AGUDO, SOSPECHA DE PERITONITIS.","ACUTE ABDOMEN, SUSPECTED PERITONITIS.",,,,R10.0,Acute abdomen
PTE SANO,HEALTHY PTE,,,,Z76.3,Healthy person accompanying sick person
DOLOR CADERA IZQUIERDA,LEFT HIP PAIN,,,,M25.552,Pain in left hip
HERNIORRAFIA UMBILICAL,UMBILICAL HERNIORRHAPHY,,,,P83.81,Umbilical granuloma
ORQUIDOPEXIA Y HERNIORRAFIA,ORCHIDOPEXY AND HERNIORRHAPHY,,,,G08,Intracranial and intraspinal phlebitis and thrombophlebitis
LESION RODILLA IZQ,LEFT KNEE INJURY,,,,S87.02XS,"Crushing injury of left knee, sequela"
ENDOMETRIOSIS,ENDOMETRIOSIS,,,,N80.8,Other endometriosis
COLELITIASIS,CHOLELITHIASIS,,,,K80.80,Other cholelithiasis without obstruction
POMEROY LIGADURA TUBARICA,POMEROY TUBAL LIGATION,,,,Z98.51,Tubal ligation status
TX DE TOBILLO,ANKLE TX,,,,S90.571S,"Other superficial bite of ankle, right ankle, sequela"
LESION HOMBROI IZQ,LEFT SHOULDER INJURY,,,,S40.912S,"Unspecified superficial injury of left shoulder, sequela"
CISTOCELE + HISTEROCELE,CYSTOCELE + HYSTEROCELE,,,,N81.10,"Cystocele, unspecified"
PAPILOMATOSIS LARINGEA,LARYNGEAL PAPILLOMATOSIS,,,,A36.2,Laryngeal diphtheria
MELANOMA,MELANOMA,,,,C43.0,Malignant melanoma of lip
CRIPTORQUIDIA IZDA,LEFT CRYPTORCHIDIA,,,,M94.272,"Chondromalacia, left ankle and joints of left foot"
NEVUS PARPADOS/CHALAZION PARPADO INF OI,EYELID NEVUS/EYELID CHALAZION INF OI,,,,H00.11,Chalazion right upper eyelid
FX RADIO DER,FX RADIO DER,,,,L58.0,Acute radiodermatitis
TUNEL CARPO BILATERAL,BILATERAL CARPAL TUNNEL,,,,G56.03,"Carpal tunnel syndrome, bilateral upper limbs"
G2C1/CESAREA PREVIA,G2C1/PREVIOUS CESAREA,,,,D80.3,Selective deficiency of immunoglobulin G [IgG] subclasses
SX MANGUITO ROTADOR,SX ROTATOR Cuff,,,,,
RGE,,,,,,
SX MANGUITO ROTADOR HOMBRO DER,,,,,,
FRACTURA DE FALANGE ISTAL MANO DERECHA,,,,,,
LESION DE LCA RODILLA IZQUIERDA,,,,,,
FRACTURA RADIO Y CUBITO IZQ,,,,,,
PAPILOMA LARINGEO,,,,,,
HERNIA INGUINAL DERECHA,,,,,,
FX DE TOBILLO IZQ ANTIGUA.,,,,,,
SINDROME DE BEAN,,,,,,
HUA,,,,,,
DEDO EN GATILLO,,,,,,
GASTRITIS,,,,,,
LESION LIGAMENTARIA TOBILLO IZQUIERDO,,,,,,
HERNIA INGUINAL DERECHA Y UMBILICAL,,,,,,
HERNIA UMBILICAL Y FIMOSIS,,,,,,
"TRASTORNO DE LOS TEJIDOS BLANDOS, NO ESP",,,,,,
SANGRADO GI,,,,,,
FISURA ANAL CRONICA,,,,,,
DESARREGLO INTERNO ATM BILATERAL.,,,,,,
MIOMATOSIS UTERINA,,,,,,
LESION RODILLA IZQUIERDA,,,,,,
CA DE COLON,,,,,,
POLIPÓ ENDOMETRIAL,,,,,,
TUNEL CARPIANO BILATERAL,,,,,,
FISTULA ANO PERINEAL,,,,,,
POP CX MANO IZQ,,,,,,
FINALIZACION TTO LINFOMA,,,,,,
CA DE PANCREAS,,,,,,
POLIPO ENDOMETRIAL,,,,,,
RECIDIVA QUISTE PILOIDAL,,,,,,
TRAUMA M SUPERIOR,,,,,,
PROLAPSO RECTO VAGINAL,VAGINAL RECTUM PROLAPSE,,,,N99.3,Prolapse of vaginal vault after hysterectomy
LUXACION CONGENITA DE CADERA DERECHA,CONGENITAL DISLOCATION OF THE RIGHT HIP,,,,Q65.01,"Congenital dislocation of right hip, unilateral"
OCLUSIACV IZQUEMICO,IZCHEMIC EVOCCLUSIA,,,,,
DOLOR EN RODILLA IZQUIERDA,PAIN IN LEFT KNEE,,,,M25.562,Pain in left knee
CARCINOMA DE MAMA,BREAST CARCINOMA,,,,C4A.52,Merkel cell carcinoma of skin of breast
CARCINOMA INTRADUCTAL DE MAMA,INTRADUCTAL CARCINOMA OF THE BREAST,,,,D05.10,Intraductal carcinoma in situ of unspecified breast
DOLOR ABDOMINAL A ESTUDIO,ABDOMINAL PAIN TO STUDY,,,,R10.84,Generalized abdominal pain
