input_es,input_en,icd10pcs_code,icd10pcs_term
RTU DE PRÓSTATA,PROSTATE TUR,C9747,"Ablation, hifu, prostate"
HISTERECTOMIA LAPAROSCOPICA,LAPAROSCOPIC HYSTERECTOMY,S2079,Lap esophagomyotomy
"CURETAJE, AMPUTACIÓN Y REMODELACION DE COLGAJOS DEDOS MANO IZQ.","CURETTAGE, AMPUTATION, AND REMODELING OF FLAPS OF LEFT HAND FINGERS.",L6905,Hand restoration multiple fi
CESAREA .,CESAREA,S9438,Cesarean birth class
EVDA Y COLONOSCOPIA,EVDA AND COLONOSCOPY,M1377,Fu colscop 10 yr doc w/ disc
RMN CEREBRO .,BRAIN MRI.,G9538,Adv brain image ordered
NASOFIBROLARINGOSCOPIA,NASOFIBROLARINGOSCOPY,,
CIRCUNCISIÓN .,CIRCUMCISION.,,
OTS CLAVICULA DERECHA.,OTS RIGHT CLAVICLE.,L1653,Ho abduction static ots
CUADRANTECTOMÍ + COLGAJO .,QUADRANTECTOMY + FLAP.,S2066,Breast gap flap reconst
"HERNIORRAFIA UMBILICAL , RESECCIÓN DE APENDICE PREAURICULAR .","UMBILICAL HERNIORRHAPHY, PREAURICULAR APPENDIX RESECTION.",,
TIORIDECTOMIA,THYORIDECTOMY,,
RMN DEL PANCREAS,MRI OF THE PANCREAS,M1027,Img head (ct or mri) obtnd
LAMINECTOMIA Y DISECTOMIA L4-L5 IZQUIERDA,LAMINECTOMY AND DISECTOMY L4-L5 LEFT,,
NEFROLITOTOMIA PERCUTANEA IZQ,LEFT PERCUTANEOUS NEPHROLITHOTOMY,G8395,Lvef>=40% doc normal or mild
HERNIORAFIA UMBILICAL .,UMBILICAL HERNIORPHY.,S2150,Bmt harv/transpl 28d pkg
RECONSTRUCCION MAMARIA,BREAST RECONSTRUCTION,S2066,Breast gap flap reconst
CUADRANTECTOMIA MAMA IZQ,LEFT BREAST QUADRANTECTOMY,G8395,Lvef>=40% doc normal or mild
CISTOTLITOTOMÍA LASER,LASER CYSTOTLITHOTOMY,C2629,"Intro/sheath, laser"
CATETERISMO CARDIACO,CARDIAC CATHETERIZATION,G0278,"Iliac art angio,cardiac cath"
DONANTE DE MÉDULA ÓSEA .,BONE MARROW DONOR.,G0364,Bone marrow aspirate &biopsy
HERNIORRAFIA UMBILICAL,UMBILICAL HERNIORRHAPHY,S2150,Bmt harv/transpl 28d pkg
ARTROSCOPIA HOMBRO DER,RIGHT SHOULDER ARTHRSCOPY,C1605,"Pmkr, dual, leadless"
COLELAP,COLELAP,,
LAPAROTMIA EXPLORATORIA.,EXPLORATORY LAPAROTMY.,,
