model,text,text_hash,predicted_label,predicted_score,all_labels,all_scores,status
facebook_bart,POMEROY TUBAL LIGATION,c187ae9ba2828c8e09aebfc74f1b074b,high severity,0.29603761434555054,"['high severity', 'critical', 'medium severity', 'moderate severity', 'low severity']","[0.29603761434555054, 0.25222286581993103, 0.23522153496742249, 0.1366923600435257, 0.07982564717531204]",success
facebook_bart,OST MAT REMOVAL,1b6651dea2a8808f5883f8aaa63aa602,critical,0.32744482159614563,"['critical', 'medium severity', 'moderate severity', 'high severity', 'low severity']","[0.32744482159614563, 0.20666752755641937, 0.18933680653572083, 0.15127943456172943, 0.12527139484882355]",success
facebook_bart,SHOULDER ARTHRSCOPY,d320a1a4dc1a9acfcbde256cf19b61e2,critical,0.29868003726005554,"['critical', 'medium severity', 'low severity', 'high severity', 'moderate severity']","[0.29868003726005554, 0.20187409222126007, 0.1937345415353775, 0.15574465692043304, 0.14996662735939026]",success
facebook_bart,VAGINAL HYSTERECTOMY + COPORRHAPHY + CYSTOPEXY,03740ac3d97e7d748c77c4c0bdd14820,high severity,0.6139169335365295,"['high severity', 'critical', 'medium severity', 'moderate severity', 'low severity']","[0.6139169335365295, 0.209980309009552, 0.1083335131406784, 0.038041625171899796, 0.029727596789598465]",success
facebook_bart,LASER SURGERY OF THE AIRWAY,a573f8b16b15c3bf6d6bfe6d36b1b3ca,high severity,0.4558580219745636,"['high severity', 'critical', 'medium severity', 'low severity', 'moderate severity']","[0.4558580219745636, 0.37923306226730347, 0.06371129304170609, 0.050886765122413635, 0.05031083896756172]",success
facebook_bart,RESECTION + RECONSTRUCTION,db77fbd5cf187656435d64cc3f1afb88,critical,0.4033017158508301,"['critical', 'medium severity', 'moderate severity', 'high severity', 'low severity']","[0.4033017158508301, 0.19053080677986145, 0.18971632421016693, 0.13696378469467163, 0.07948741316795349]",success
facebook_bart,LEFT ORCHIDOPEXY,e15ab7f53f349f9caea3af5aaf85f359,critical,0.27702826261520386,"['critical', 'medium severity', 'moderate severity', 'high severity', 'low severity']","[0.27702826261520386, 0.25233566761016846, 0.19396017491817474, 0.15297280251979828, 0.12370312958955765]",success
facebook_bart,"RESECTION, BX EYELIDS AND CONJUNCTIVA",4990fb7b75006fe61581eea8482f4407,critical,0.39951738715171814,"['critical', 'high severity', 'medium severity', 'moderate severity', 'low severity']","[0.39951738715171814, 0.3012213110923767, 0.14531032741069794, 0.08918948471546173, 0.06476150453090668]",success
facebook_bart,OTS MATERIAL REMOVAL,23a347bccb47ed2f200f6d64797164ff,medium severity,0.24944430589675903,"['medium severity', 'critical', 'high severity', 'moderate severity', 'low severity']","[0.24944430589675903, 0.24218210577964783, 0.19802159070968628, 0.18157906830310822, 0.12877294421195984]",success
facebook_bart,ENDOSCOPIC DECOMPRESSION,4764cbdd9772e7ff0ee00ac03e09756a,high severity,0.5785390138626099,"['high severity', 'critical', 'low severity', 'medium severity', 'moderate severity']","[0.5785390138626099, 0.2830570340156555, 0.05832170322537422, 0.0560762844979763, 0.02400605008006096]",success
facebook_bart,CESAREA/POMEROY,502049a22dd37478a7eb14a052dd4654,high severity,0.2536255419254303,"['high severity', 'critical', 'medium severity', 'moderate severity', 'low severity']","[0.2536255419254303, 0.2509894371032715, 0.224463552236557, 0.2046063393354416, 0.06631511449813843]",success
facebook_bart,RIGHT SHOULDER AND BICEPS REPAIR,aae40ab2f783da1f52b1b7bd9cdf8392,critical,0.4837968349456787,"['critical', 'medium severity', 'moderate severity', 'high severity', 'low severity']","[0.4837968349456787, 0.18757610023021698, 0.1543739289045334, 0.10681626945734024, 0.06743689626455307]",success
facebook_bart,HIGH DIG ENDOSCOPY,69a47b63ea6b723bd6b17d017959f975,high severity,0.8912445306777954,"['high severity', 'critical', 'medium severity', 'moderate severity', 'low severity']","[0.8912445306777954, 0.0688626766204834, 0.016228314489126205, 0.011842637322843075, 0.011821797117590904]",success
facebook_bart,REPAIR,ce70d07e3ba9842e96c4e4b961445f60,critical,0.3555603623390198,"['critical', 'medium severity', 'moderate severity', 'high severity', 'low severity']","[0.3555603623390198, 0.21713997423648834, 0.21610796451568604, 0.10769198834896088, 0.10349974781274796]",success
facebook_bart,INTERPHALANGIC ARTHRODESIS IN THE RIGHT HAND,d50fcca25a8d2f7875a3e5338d19916e,critical,0.559678852558136,"['critical', 'medium severity', 'high severity', 'moderate severity', 'low severity']","[0.559678852558136, 0.1478072553873062, 0.137067973613739, 0.10097943246364594, 0.05446647107601166]",success
facebook_bart,LEFT KNEE ARTHROSCOPY,c77eca734425fcc2903a97bfddbeb38e,high severity,0.41401010751724243,"['high severity', 'critical', 'medium severity', 'moderate severity', 'low severity']","[0.41401010751724243, 0.2956234812736511, 0.15075905621051788, 0.07957431674003601, 0.06003301218152046]",success
facebook_bart,REDUCTION AND OTS,994b1c3d6dbe14a26a1d0aa37eb3c997,critical,0.28269749879837036,"['critical', 'medium severity', 'moderate severity', 'low severity', 'high severity']","[0.28269749879837036, 0.23866893351078033, 0.2076117843389511, 0.18720293045043945, 0.08381875604391098]",success
facebook_bart,ENDOSCOPIC RESECTION OF LARYNGEAL LESION,5fab4a9398ae0f2ae896009ee875afa1,low severity,0.8258568644523621,"['low severity', 'high severity', 'critical', 'moderate severity', 'medium severity']","[0.8258568644523621, 0.0797639936208725, 0.06082239747047424, 0.01940000057220459, 0.014156750403344631]",success
