input_raw,rxnorm_rxcui,rxnorm_name,rxnorm_tty,atc_l1_code,atc_l1_name,atc_l2_code,atc_l2_name,atc_l3_code,atc_l3_name,atc_l4_code,atc_l4_name
losartan 50 mg,979492.0,losartan potassium 50 MG Oral Tablet,SCD,C,,C09,,C09C,,C09CA,"Angiotensin II receptor blockers (ARBs), plain"
Acetaminofen,161.0,acetaminophen,IN,N,,N02,,N02A,,N02AJ,Opioids in combination with non-opioid analgesics
omeprazol,7646.0,omeprazole,IN,A,,A02,,A02B,,A02BC,Proton pump inhibitors
diclofenaco,3355.0,diclofenac,IN,M,,M01,,M01A,,M01AB,Acetic acid derivatives and related substances
insulina nph,317235.0,"insulin isophane, beef",PIN,,,,,,,,
micronutrientes,,,,,,,,,,,
tamoxifeno,10324.0,tamoxifen,IN,L,,L02,,L02B,,L02BA,Anti-estrogens
vit c,1151.0,ascorbic acid,IN,A,,A11,,A11J,,A11JC,"Vitamins, other combinations"
ibuprofeno,5640.0,ibuprofen,IN,N,,N02,,N02A,,N02AJ,Opioids in combination with non-opioid analgesics
flohaler,966524.0,120 ACTUAT budesonide 0.18 MG/ACTUAT Dry Powder Inhaler [Pulmicort],SBD,A,,A07,,A07E,,A07EA,Corticosteroids acting locally
nasacort,153239.0,Nasacort,BN,A,,A01,,A01A,,A01AC,Corticosteroids for local oral treatment
l tiroxina,153970.0,hyoscyamine,IN,A,,A03,,A03B,,A03BA,"Belladonna alkaloids, tertiary amines"
syntroid,224920.0,Synthroid,BN,H,,H03,,H03A,,H03AA,Thyroid hormones
metrotexate,6851.0,methotrexate,IN,L,,L01,,L01B,,L01BA,Folic acid analogues
coverm perindopril amlodipino,1033889.0,amlodipine / perindopril,MIN,C,,C09,,C09B,,C09BB,ACE inhibitors and calcium channel blockers
macitentan,1442132.0,macitentan,IN,C,,C02,,C02K,,C02KX,Antihypertensives for pulmonary arterial hypertension
esomeprazol,283742.0,esomeprazole,IN,A,,A02,,A02B,,A02BC,Proton pump inhibitors
enalapril,3827.0,enalapril,IN,C,,C09,,C09A,,C09AA,"ACE inhibitors, plain"
etoricoxib,307296.0,etoricoxib,IN,M,,M01,,M01A,,M01AH,Coxibs
vitaminas,11246.0,vitamin A,IN,A,,A11,,A11J,,A11JA,Combinations of vitamins
vitamina d,11253.0,vitamin D,IN,,,,,,,,
loratadina,28889.0,loratadine,IN,R,,R06,,R06A,,R06AX,Other antihistamines for systemic use
hierro,90176.0,iron,IN,,,,,,,,
glucosamina,4845.0,glucosamine,IN,M,,M01,,M01A,,M01AX,"Other antiinflammatory and antirheumatic agents, non-steroids"
atorvastatina,83367.0,atorvastatin,IN,C,,C10,,C10B,,C10BA,Combinations of various lipid modifying agents
amlodipino mas valsartan mas hctz,1099282.0,Mielim Y Mas,BN,R,,R05,,R05D,,R05DA,Opium alkaloids and derivatives
valdorsan,,,,,,,,,,,
negativo,,,,,,,,,,,
naproxeno,7258.0,naproxen,IN,M,,M01,,M01A,,M01AE,Propionic acid derivatives
azitromicina,18631.0,azithromycin,IN,J,,J01,,J01F,,J01FA,Macrolides
fluoxetina,4493.0,fluoxetine,IN,N,,N06,,N06A,,N06AB,Selective serotonin reuptake inhibitors
fe,152364.0,Slow-Fe,BN,B,,B03,,B03A,,B03AA,"Iron bivalent, oral preparations"
ver enf actual,1550700.0,Kentucky bluegrass pollen extract 100 IR / orchard grass pollen extract 100 IR / perennial rye grass pollen extract 100 IR / sweet vernal grass pollen extract 100 IR / Timothy grass pollen extract 100 IR Sublingual Tablet,SCD,V,,V01,,V01A,,V01AA,Allergen extracts
dutasteride,228790.0,dutasteride,IN,G,,G04,,G04C,,G04CA,Alpha-adrenoreceptor antagonists
losartan,52175.0,losartan,IN,C,,C09,,C09C,,C09CA,"Angiotensin II receptor blockers (ARBs), plain"
ezitalopram,321988.0,escitalopram,IN,N,,N06,,N06A,,N06AB,Selective serotonin reuptake inhibitors
suplemento vitami nico,11246.0,vitamin A,IN,A,,A11,,A11J,,A11JA,Combinations of vitamins
peg,1310594.0,polyethylene glycol 4000,IN,,,,,,,,
prednisolona mg c dia,1151.0,ascorbic acid,IN,A,,A11,,A11J,,A11JC,"Vitamins, other combinations"
ganoderma,2287734.0,Ganoderma lucidum whole extract,IN,,,,,,,,
tibolona,38260.0,tibolone,IN,G,,G03,,G03C,,G03CX,Other estrogens
referido enf actual,1945047.0,30 ACTUAT fluticasone furoate 0.1 MG/ACTUAT / umeclidinium 0.0625 MG/ACTUAT / vilanterol 0.025 MG/ACTUAT Dry Powder Inhaler,SCD,R,,R03,,R03A,,R03AL,Adrenergics in combination with anticholinergics incl. triple combinations with corticosteroids
ranitidina,9143.0,ranitidine,IN,A,,A02,,A02B,,A02BA,H2-receptor antagonists
levotiroxina,10582.0,levothyroxine,IN,H,,H03,,H03A,,H03AA,Thyroid hormones
dolex,2598449.0,Dodex,BN,B,,B03,,B03B,,B03BA,Vitamin B12 (cyanocobalamin and analogues)
carbamazepina,2002.0,carbamazepine,IN,N,,N03,,N03A,,N03AF,Carboxamide derivatives
engystol,,,,,,,,,,,
lantanoprost,43611.0,latanoprost,IN,S,,S01,,S01E,,S01EE,Prostaglandin analogues
montelukast,88249.0,montelukast,IN,R,,R03,,R03D,,R03DC,Leukotriene receptor antagonists
cetiricina,20610.0,cetirizine,IN,R,,R06,,R06A,,R06AE,Piperazine derivatives
alegra,324026.0,Allegra,BN,R,,R06,,R06A,,R06AX,Other antihistamines for systemic use
colageno,2714.0,collagen,IN,A,,A11,,A11G,,A11GB,"Ascorbic acid (vitamin C), combinations"
pregabalina,187832.0,pregabalin,IN,N,,N02,,N02B,,N02BF,Gabapentinoids
doxofilina,,,,,,,,,,,
tramadol,10689.0,tramadol,IN,N,,N02,,N02A,,N02AX,Other opioids
cursodexaosicolico,,,,,,,,,,,
hiosicna,,,,,,,,,,,
litio,,,,,,,,,,,
avamis,,,,,,,,,,,
hyzaar mg dia,217681.0,Hyzaar,BN,C,,C09,,C09C,,C09CA,"Angiotensin II receptor blockers (ARBs), plain"
aco,,,,,,,,,,,
anexia,2656087.0,acetaminophen / hydrocodone bitartrate Oral Tablet [Anexsia],SBDFP,,,,,,,,
lovastatina,6472.0,lovastatin,IN,C,,C10,,C10A,,C10AA,HMG CoA reductase inhibitors
