Variable,Correlation,Abs_Correlation,Corr_PValue,MannWhitney_U,MW_PValue,Mean_Diff,Mean_Target0,Mean_Target1,Significant,N_Valid
Examen_Hemoglobina(g/dl),0.07918686129503263,0.07918686129503263,9.395598174906941e-43,99604129.5,1.6641795468696372e-47,1.1025888141828353,3.5694455205811138,4.672034334763949,Sí,29865
IMC,0.0631348108818127,0.0631348108818127,9.140561112088316e-28,99932215.5,8.189837137300787e-30,0.5890133327600324,23.976913259772992,24.565926592533025,Sí,29865
score_proc_critical,-0.04661183932664302,0.04661183932664302,7.675460983313359e-16,114365946.5,8.70188047152991e-17,-0.012792460700338182,0.2876967379152412,0.274904277214903,Sí,29865
Edad,0.044692194138768696,0.044692194138768696,1.1009693734019919e-14,102921632.0,3.6026574738708186e-13,1.9070927658054018,36.83042310547722,38.737515871282625,Sí,29865
score_proc_high_severity,0.04229610712575065,0.04229610712575065,2.62481043036366e-13,103976271.0,5.462676530045241e-09,0.01721205843967516,0.2836397147055817,0.30085177314525685,Sí,29865
Peso (Kg),0.03846781263115931,0.03846781263115931,2.9310241137597324e-11,101497683.0,3.258224532444249e-20,2.5871888005456327,68.19299119441777,70.7801799949634,Sí,29865
Examen_PT (INR),0.031684656119360284,0.031684656119360284,4.332639012289426e-08,106972175.5,1.466439502507443e-09,0.012413801738937653,0.023545917114082184,0.03595971885301984,Sí,29865
score_proc_moderate_severity,-0.02470294697631639,0.02470294697631639,1.9590213252828906e-05,111906732.0,6.656507742484603e-07,-0.0045172642490543535,0.1315133432992054,0.12699607905015103,Sí,29865
Examen_Hematocrito (%),0.020980157876557146,0.020980157876557146,0.0002879213277601831,107853953.0,0.00012044122046790676,0.1394237703810702,0.182865213882163,0.3222889842632332,Sí,29865
score_dx_low_severity,-0.020441874766066497,0.020441874766066497,0.0004110552601761248,109388312.0,0.12343058879327398,-0.006118456926591742,0.13077102026895,0.12465256334235825,Sí,29865
Tensión Arterial Sistólica (mm/Hg),0.017830929247529253,0.017830929247529253,0.0020591428585732393,101944613.0,4.5362010038679885e-18,1.1328136802003144,123.99783213713991,125.13064581734022,Sí,29865
score_dx_medium_severity,0.017728826637476488,0.017728826637476488,0.0021845843439814855,106378713.5,0.010468117764507174,0.003571162962391211,0.1554362254711116,0.15900738843350282,Sí,29865
Examen_PTT,0.017314529627248644,0.017314529627248644,0.0027687652183319626,108085331.0,0.007153013247895667,0.06991489052156835,0.05005649717514125,0.11997138769670959,Sí,29865
score_proc_medium_severity,-0.01652154502673595,0.01652154502673595,0.004300364097354275,110687072.0,0.0009342916156005755,-0.002767514144107197,0.16678877888590132,0.16402126474179413,Sí,29865
Tensión Arterial Media (mm/Hg),0.016215602240292785,0.016215602240292785,0.005072942660705294,103026485.0,9.96394011106931e-13,0.649940355353678,91.12343633480053,91.77337669015421,Sí,29865
score_proc_ant_medium_severity,0.015743042529026172,0.015743042529026172,0.006514631367216669,106177245.0,0.0032432602685938524,0.003529720342528339,0.09993848417398142,0.10346820451650976,Sí,29865
score_proc_ant_low_severity,0.013858884151023326,0.013858884151023326,0.01661869463805372,106190629.0,0.0034473231400416336,0.0024034817636734637,0.062170957875474865,0.06457443963914833,Sí,29865
Examen_Plaquetas (ml),0.013639440853814832,0.013639440853814832,0.018417790757237845,108031508.5,0.013922804874787975,0.7264390942439389,1.0307506053268765,1.7571896995708154,Sí,29865
Examen_K (meq/L),0.01334586661001953,0.01334586661001953,0.02108990138541885,108198221.0,0.019740662342858997,0.002284573257541905,0.00034947538337368845,0.0026340486409155935,Sí,29865
Talla (cm),0.012980465440020714,0.012980465440020714,0.024882706633423093,105390442.5,9.322426088795904e-05,0.6497588983473008,157.03523145901153,157.68499035735883,Sí,29865
Examen_Glicemia (mg/dl),0.012789332254854931,0.012789332254854931,0.027092295674139885,107878119.0,0.03384115068146461,0.3495052427023042,1.6958595641646488,2.045364806866953,Sí,29865
score_proc_ant_moderate_severity,0.012516707571043523,0.012516707571043523,0.030535939946141233,106337314.5,0.006583798701424409,0.0023985773279387307,0.07555447445744146,0.07795305178538019,Sí,29865
Temperatura,-0.012247198021884044,0.012247198021884044,0.03430320164578187,109807749.5,0.034676180749343546,-0.1163242597065377,34.74035356004521,34.62402930033867,Sí,29865
score_proc_low_severity,-0.012180103014448601,0.012180103014448601,0.035300569389007844,112562856.0,4.492552480148775e-09,-0.0022243449259289477,0.09888442512827116,0.09666008020234221,Sí,29865
Antecedentes anestésicos,0.01084988723829325,0.01084988723829325,0.06079283285688852,108061449.5,0.7812795272814561,21.867906625514706,1158.8924939467313,1180.760400572246,No,29865
Hora_decimal,-0.01084842035058257,0.01084842035058257,0.06082771747309923,110131615.5,0.01068442222006879,-0.07117610422360521,12.601259079903148,12.530082975679543,No,29865
Tensión Arterial Diastólica (mm/Hg),0.010026314490544443,0.010026314490544443,0.0831547204101865,103744318.5,4.4568303996942627e-10,0.4136227655623941,74.70521196074158,75.11883472630397,No,29865
Examen_Na (meq/L),0.009744609987817707,0.009744609987817707,0.09218484130409545,108232845.0,0.09216067256912393,0.032217453505007154,0.0,0.032217453505007154,No,29865
score_dx_critical,0.009574482859013609,0.009574482859013609,0.09800926663126007,106816348.0,0.0495644495070461,0.0026613443641807233,0.2110561164060998,0.21371746077028053,No,29865
Examen_P de O,0.004872513740693208,0.004872513740693208,0.39978074740330605,108251430.0,0.39980974883504217,5.7224606580829754e-05,0.0,5.7224606580829754e-05,No,29865
score_proc_ant_high_severity,0.004298292912712954,0.004298292912712954,0.4576139605093447,107301697.0,0.1761785847809676,0.0019271240600280404,0.1874422463307103,0.18936937039073834,No,29865
score_dx_moderate_severity,-0.004087650877189245,0.004087650877189245,0.47995155455452554,108245517.0,0.9868385565608381,-0.0009863837510367124,0.12683203264325255,0.12584564889221583,No,29865
Examen_Leucocitos (ml),0.0026182144695170986,0.0026182144695170986,0.6509459954180083,108115580.0,0.3829862819655,0.005653268695853961,0.11309402744148508,0.11874729613733905,No,29865
score_proc_ant_critical,0.0017665433010898282,0.0017665433010898282,0.760158605808384,107641084.5,0.38299576733814256,0.0005768458648369446,0.1504386310258548,0.15101547689069175,No,29865
score_dx_high_severity,0.0004858467405832262,0.0004858467405832262,0.9330897763857307,108490025.5,0.7515173195917659,0.00021937895904289295,0.30931864737313547,0.30953802633217836,No,29865
Frecuencia Respiratoria,-0.00035546692298955434,0.00035546692298955434,0.951018813897735,108367517.0,0.8809768786282585,-0.011003501174268848,31.465924646019648,31.45492114484538,No,29865
