Feature_Group,N_Categories,Cramers_V,Chi2_Statistic,P_Value,Significant,N
Tipo de anestesia propuesta,8,0.20385617435349174,1241.109953785261,9.089135734714423e-264,Sí,29865
Dx Preoperatorio Code,27,0.12670646185103365,479.4684630351245,6.072561949081687e-85,Sí,29865
Procedimiento propuesto Code,17,0.08310766804617217,206.27410523629263,4.2640456515306003e-35,Sí,29865
Grupo Sanguíneo,5,0.04724279149260172,66.65513645842144,1.1525613764442796e-13,Sí,29865
RH,3,0.04567990592781588,62.31791590347074,2.9365439133390913e-14,Sí,29865
Antecedente endocrinológicos,4,0.04426821581024326,58.52569181498014,1.213835837550157e-12,Sí,29865
Antecedentes cardiovasculares,8,0.03607115010786391,38.85818384065747,2.0800639161027305e-06,Sí,29865
Anestesia previa,16,0.034443531404610636,35.43054749310321,0.0012689653545518802,Sí,29865
Antecedente renales,4,0.033149003584971,32.81734754107128,3.519420477640937e-07,Sí,29865
Antecedente hematológicos,7,0.03274275067494235,32.017899810405346,1.618918489471716e-05,Sí,29865
Antecedentes quirúrgicos Code,17,0.02555417303988134,19.502315664999404,0.24347672621984207,No,29865
Condición,9,0.02452880187272481,17.968639252964607,0.021462835225580852,Sí,29865
Sistema Nervioso,5,0.021640613346084428,13.986261700132538,0.007339032030734478,Sí,29865
Antecedente neurológicos,6,0.021304195822312327,13.554790506512116,0.018699005095834057,Sí,29865
Abdomen,4,0.021201029283206798,13.423828988261667,0.003804194952163162,Sí,29865
Sistema cardiovascular,6,0.01992845192693804,11.860681554640836,0.018417908657478912,Sí,29865
Sistema Respiratorio,4,0.01215790585980251,4.4144852657636715,0.22004601923023034,No,29865
Antecedente respiratorios,5,0.01177608284191776,4.141562535832835,0.3871863202914175,No,29865
Antecedente gastrointestinales,4,0.011530086752303721,3.9703397238998805,0.2646847668570941,No,29865
Color de Piel,4,0.010585573992226519,3.346503961486513,0.3412224283825446,No,29865
