Variable,Spearman_Corr,Abs_Correlation,P_Value,Significant,N_Categories,N_Valid
anio,-0.047028760971253546,0.047028760971253546,4.2425250380004216e-16,Sí,7,29865
predicted_label_proc_encoded,-0.03642430349500273,0.03642430349500273,3.044624101032651e-10,Sí,6,29865
Puntaje Mallampati,0.03296775542466597,0.03296775542466597,1.2077345795306108e-08,Sí,4,29865
Estado Nutricional_encoded,0.03173898994681025,0.03173898994681025,4.1084905178880514e-08,Sí,3,29865
mes,0.010601457945895043,0.010601457945895043,0.06694173606924811,No,12,29865
predicted_label_dx_encoded,0.009797189490156387,0.009797189490156387,0.09044207198349744,No,6,29865
dia_semana,0.009691755942953304,0.009691755942953304,0.09396379314442793,No,7,29865
Atención_encoded,0.006858012660670072,0.006858012660670072,0.23596553486945182,No,3,29865
Cuello Móvil_encoded,0.005458444466225649,0.005458444466225649,0.34554371592645866,No,3,29865
Apertura Oral_encoded,0.005283633951426839,0.005283633951426839,0.361211519880204,No,2,29865
predicted_label_proc_ant_encoded,0.0028860466023662465,0.0028860466023662465,0.6179681245830321,No,6,29865
Respuesta Verbal_encoded,-0.0020252392937139705,0.0020252392937139705,0.7263557364214254,No,6,29865
Respuesta Motora_encoded,-0.0012638244813723508,0.0012638244813723508,0.8271184902299836,No,6,29865
Apertura Visual_encoded,-0.0011940678615110657,0.0011940678615110657,0.836522062319711,No,5,29865
