variable,subgrupo,n,n_positivos,prevalence,roc_auc,fn_rate,fp_rate
dx_cie10_capitulo,R,190,60,0.3158,0.8503,0.0667,0.5538
dx_cie10_capitulo,J,92,19,0.2065,0.819,0.1053,0.589
dx_cie10_capitulo,Q,124,38,0.3065,0.7987,0.1842,0.5465
dx_cie10_capitulo,L,34,11,0.3235,0.7964,0.0909,0.6087
dx_cie10_capitulo,H,209,59,0.2823,0.7943,0.0508,0.5533
dx_cie10_capitulo,M,555,173,0.3117,0.7651,0.104,0.5759
dx_cie10_capitulo,O,123,23,0.187,0.7635,0.1304,0.69
dx_cie10_capitulo,NO ENCONTRADO,1167,313,0.2682,0.7625,0.1406,0.6101
dx_cie10_capitulo,G,176,41,0.233,0.7565,0.122,0.5556
dx_cie10_capitulo,N,274,67,0.2445,0.7544,0.1642,0.599
dx_cie10_capitulo,nan,370,88,0.2378,0.7507,0.1364,0.5922
dx_cie10_capitulo,D,99,31,0.3131,0.7479,0.129,0.6324
dx_cie10_capitulo,Z,117,37,0.3162,0.7463,0.1351,0.55
dx_cie10_capitulo,F,28,7,0.25,0.7279,0.0,0.619
dx_cie10_capitulo,S,419,132,0.315,0.7124,0.1894,0.6272
dx_cie10_capitulo,I,86,25,0.2907,0.7121,0.24,0.541
dx_cie10_capitulo,C,64,17,0.2656,0.7071,0.1765,0.5745
dx_cie10_capitulo,T,43,14,0.3256,0.7069,0.2857,0.5172
dx_cie10_capitulo,K,286,74,0.2587,0.7012,0.1622,0.6274
dx_cie10_capitulo,B,31,6,0.1935,0.6967,0.1667,0.56
dx_cie10_capitulo,A,97,29,0.299,0.6945,0.2069,0.6324
dx_cie10_capitulo,P,45,18,0.4,0.6553,0.0556,0.6667
dx_cie10_capitulo,E,39,11,0.2821,0.5357,0.3636,0.4643
grupo_edad,41-60,1843,512,0.2778,0.7619,0.123,0.5988
grupo_edad,61-75,591,150,0.2538,0.7507,0.14,0.5805
grupo_edad,76+,188,64,0.3404,0.7499,0.1719,0.5081
grupo_edad,18-40,2056,569,0.2768,0.7445,0.1511,0.6046
score_proc_severidad_quartil,Q4_alto,1166,309,0.265,0.7726,0.1521,0.5904
score_proc_severidad_quartil,Q1_bajo,1181,329,0.2786,0.7528,0.1246,0.6045
score_proc_severidad_quartil,Q2,1158,331,0.2858,0.7438,0.1329,0.5852
score_proc_severidad_quartil,Q3,1173,326,0.2779,0.7389,0.1503,0.6021
tipo_anestesia,bloqueo n,413,121,0.293,0.7947,0.1157,0.5205
tipo_anestesia,raquidea,486,124,0.2551,0.7921,0.129,0.5718
tipo_anestesia,local,293,73,0.2491,0.7902,0.1233,0.5636
tipo_anestesia,sedacion,713,193,0.2707,0.7759,0.1451,0.5673
tipo_anestesia,general,3780,1052,0.2783,0.7485,0.1426,0.5964
tipo_anestesia,sin dato,331,100,0.3021,0.7077,0.14,0.6407
tipo_anestesia,peridural,113,29,0.2566,0.6802,0.3103,0.5119
