flag,prevalence,n_positives,roc_auc_mean,roc_auc_std,interpretacion
flag_interconsultas,0.0455,1065,0.8359,0.0072,buena_senal
flag_presion_sistolica_anormal,0.0467,1092,0.8149,0.0093,buena_senal
flag_hospitalizacion_no_anticipada,0.1939,4534,0.8138,0.0068,buena_senal
flag_uci_no_planeada,0.0186,434,0.7762,0.0478,buena_senal
flag_estancia_uci,0.0186,434,0.7762,0.0478,buena_senal
flag_glucometria_anormal,0.0403,942,0.7754,0.0197,buena_senal
flag_estancia_prolongada,0.0365,853,0.7622,0.015,buena_senal
flag_presion_media_anormal,0.0131,306,0.7404,0.0329,senal_moderada
flag_duracion_cirujano_larga,0.084,1965,0.7277,0.0174,senal_moderada
flag_seguimiento,0.086,2011,0.7203,0.0143,senal_moderada
flag_laringoscopia_alta,0.124,2899,0.719,0.0081,senal_moderada
flag_duracion_anestesia_larga,0.0576,1347,0.7183,0.009,senal_moderada
flag_destino_uci,0.0107,250,0.7122,0.0289,senal_moderada
flag_intubacion_dificil,0.0224,525,0.7044,0.0195,senal_moderada
flag_saturacion_oxigeno_anormal,0.0322,752,0.6947,0.0178,senal_moderada
flag_balance_extremo,0.0107,251,0.6892,0.0302,senal_moderada
flag_via_aerea,0.1538,3598,0.6862,0.0034,senal_moderada
flag_temperatura_anormal,0.0281,658,0.6702,0.0127,senal_moderada
flag_tipo_intubacion_complejo,0.0222,519,0.6692,0.0141,senal_moderada
flag_induccion_compleja,0.0351,821,0.6625,0.0207,senal_moderada
flag_presion_diastolica_anormal,0.0188,440,0.6188,0.006,senal_debil
flag_liquidos,0.0374,875,0.6174,0.0196,senal_debil
flag_aferesis,0.0263,614,0.595,0.0276,senal_debil
flag_urgencias_30_dias,0.0437,1022,0.5924,0.0251,senal_debil
flag_frecuencia_cardiaca_anormal,0.0144,337,0.5835,0.0175,senal_debil
flag_intubado_salida,0.1153,2696,0.552,0.011,senal_debil
