Feature,Importance,Source
Tipo de anestesia propuesta_sedacion,0.02904220326707359,native_feature_importance
Edad,0.019032676962920166,native_feature_importance
Hora_decimal,0.018410149146028336,native_feature_importance
Frecuencia Respiratoria,0.017912350791342842,native_feature_importance
Temperatura,0.01780303167743042,native_feature_importance
mes,0.017735973416972087,native_feature_importance
IMC,0.017679351237571007,native_feature_importance
score_proc_critical,0.017645657444187942,native_feature_importance
Talla (cm),0.01754809749961637,native_feature_importance
score_proc_high_severity,0.01743769332922321,native_feature_importance
Peso (Kg),0.016848982933274564,native_feature_importance
dia_semana,0.016804660945871134,native_feature_importance
Tensión Arterial Media (mm/Hg),0.01675158135859711,native_feature_importance
score_proc_medium_severity,0.016735752826513847,native_feature_importance
score_proc_moderate_severity,0.016707715732427866,native_feature_importance
score_proc_low_severity,0.01669914229818389,native_feature_importance
Tensión Arterial Sistólica (mm/Hg),0.01655415428729164,native_feature_importance
score_dx_critical,0.016501882498874434,native_feature_importance
score_dx_medium_severity,0.016362408314513254,native_feature_importance
anio,0.01635915985152073,native_feature_importance
score_dx_moderate_severity,0.016292570487716318,native_feature_importance
score_dx_high_severity,0.016283385656596414,native_feature_importance
score_dx_low_severity,0.01614143296905569,native_feature_importance
Tensión Arterial Diastólica (mm/Hg),0.015550498077858264,native_feature_importance
Examen_Hemoglobina(g/dl),0.014721623496906198,native_feature_importance
