Feature,Importance,Source
Hora_decimal,0.03062108987311146,native_feature_importance
IMC,0.030619504140833146,native_feature_importance
score_proc_critical,0.030076362649957923,native_feature_importance
score_proc_low_severity,0.02968583940595805,native_feature_importance
score_proc_high_severity,0.0294090318134207,native_feature_importance
Temperatura,0.02933335707751993,native_feature_importance
Edad,0.029010182070246183,native_feature_importance
score_proc_moderate_severity,0.028852677300323287,native_feature_importance
Frecuencia Respiratoria,0.028842456046501073,native_feature_importance
score_proc_medium_severity,0.028767345839990886,native_feature_importance
score_dx_medium_severity,0.027396449608040694,native_feature_importance
score_dx_critical,0.02716997190302798,native_feature_importance
score_dx_low_severity,0.02691959274735078,native_feature_importance
Peso (Kg),0.026614780317292357,native_feature_importance
score_dx_high_severity,0.026558047873543718,native_feature_importance
score_dx_moderate_severity,0.026264871698984546,native_feature_importance
Talla (cm),0.02612995190310644,native_feature_importance
Tipo de anestesia propuesta_sedacion,0.024510378441201765,native_feature_importance
Tensión Arterial Media (mm/Hg),0.02417289323922957,native_feature_importance
Tensión Arterial Sistólica (mm/Hg),0.02003859135911094,native_feature_importance
mes,0.019845711589354303,native_feature_importance
score_proc_ant_critical,0.018014705373182765,native_feature_importance
score_proc_ant_low_severity,0.0178500804907075,native_feature_importance
score_proc_ant_high_severity,0.01761945843165793,native_feature_importance
score_proc_ant_moderate_severity,0.017588954816993067,native_feature_importance
