Feature,Importance,Source
Tipo de anestesia propuesta_sedacion,0.0390002224689216,native_feature_importance
Tipo de anestesia propuesta_raquidea,0.018289150704328683,native_feature_importance
score_proc_critical,0.01777960752725091,native_feature_importance
Edad,0.017422524421880567,native_feature_importance
score_proc_high_severity,0.017397820533551295,native_feature_importance
IMC,0.017176427530834343,native_feature_importance
Frecuencia Respiratoria,0.01709585024610823,native_feature_importance
Hora_decimal,0.017006632114274375,native_feature_importance
Temperatura,0.016868072264606022,native_feature_importance
mes,0.016691825729412472,native_feature_importance
Talla (cm),0.01660401191781747,native_feature_importance
score_proc_medium_severity,0.016422380392706815,native_feature_importance
score_proc_moderate_severity,0.016287047767439063,native_feature_importance
Peso (Kg),0.016207597000786767,native_feature_importance
dia_semana,0.016120574896471618,native_feature_importance
score_proc_low_severity,0.01595331672564409,native_feature_importance
score_dx_high_severity,0.01593175642452927,native_feature_importance
score_dx_critical,0.01588776440606422,native_feature_importance
score_dx_moderate_severity,0.015882021570942245,native_feature_importance
score_dx_medium_severity,0.015798237133720607,native_feature_importance
Tensión Arterial Media (mm/Hg),0.01573602856303421,native_feature_importance
score_dx_low_severity,0.015711145358175454,native_feature_importance
Tensión Arterial Sistólica (mm/Hg),0.015535283158285411,native_feature_importance
anio,0.015462938730516669,native_feature_importance
Tensión Arterial Diastólica (mm/Hg),0.01491371356917664,native_feature_importance
