Feature,Importance,Source
Tipo de anestesia propuesta_sedacion,0.04121302291551769,permutation_importance
Tensión Arterial Media (mm/Hg),0.022227860684865108,permutation_importance
Tensión Arterial Diastólica (mm/Hg),0.016276023441381883,permutation_importance
Tipo de anestesia propuesta_peridural,0.013850022222358604,permutation_importance
Tipo de anestesia propuesta_raquidea,0.012215884218445017,permutation_importance
Examen_Hemoglobina(g/dl),0.010184290363229187,permutation_importance
Tipo de anestesia propuesta_local,0.004550908532921038,permutation_importance
Sexo_encoded,0.003762056628629451,permutation_importance
Dx Preoperatorio Code_G,0.0034673942885844024,permutation_importance
Tipo de anestesia propuesta_bloqueo n,0.0032408024436974435,permutation_importance
Dx Preoperatorio Code_A,0.003191543346982817,permutation_importance
Examen_PT (INR),0.0029759929750952097,permutation_importance
Dx Preoperatorio Code_O,0.0025556362909053163,permutation_importance
Dx Preoperatorio Code_Z,0.0024701299343441673,permutation_importance
Prótesis Dental_movil,0.0024660776765767613,permutation_importance
Tensión Arterial Sistólica (mm/Hg),0.0024589769313144937,permutation_importance
Dx Preoperatorio Code_S,0.002196695476732424,permutation_importance
Edad,0.0021563959591183847,permutation_importance
Dx Preoperatorio Code_C,0.0018764555830725449,permutation_importance
Estado Nutricional_encoded,0.0016963717608194262,permutation_importance
Dx Preoperatorio Code_H,0.0013939394953304206,permutation_importance
Puntaje Mallampati,0.0012924471677600246,permutation_importance
Procedimiento propuesto Code_G,0.0012170156906024187,permutation_importance
recalculado_flag,0.001130394033738291,permutation_importance
Peso (Kg),0.00112429705874868,permutation_importance
