Feature,Importance,Source
Tipo de anestesia propuesta_sedacion,0.033842272924781314,native_feature_importance
score_proc_critical,0.031051010060813854,native_feature_importance
score_proc_low_severity,0.02934943642571342,native_feature_importance
score_proc_medium_severity,0.029211287178417387,native_feature_importance
IMC,0.029093164730771046,native_feature_importance
score_proc_high_severity,0.028954915162447557,native_feature_importance
score_proc_moderate_severity,0.028693235194883756,native_feature_importance
Hora_decimal,0.02847793420536395,native_feature_importance
Temperatura,0.027996599330856617,native_feature_importance
Edad,0.027472653356449217,native_feature_importance
Frecuencia Respiratoria,0.027425903224699025,native_feature_importance
score_dx_critical,0.0266888730405324,native_feature_importance
score_dx_medium_severity,0.02644278947955198,native_feature_importance
score_dx_moderate_severity,0.026211400662420094,native_feature_importance
Peso (Kg),0.026195317043772367,native_feature_importance
score_dx_low_severity,0.026122026751487275,native_feature_importance
score_dx_high_severity,0.026033228479173002,native_feature_importance
Talla (cm),0.02467010443670927,native_feature_importance
Tensión Arterial Media (mm/Hg),0.022691022750421886,native_feature_importance
mes,0.018830930704134614,native_feature_importance
Tensión Arterial Sistólica (mm/Hg),0.018624513810327214,native_feature_importance
score_proc_ant_critical,0.017868551551822865,native_feature_importance
score_proc_ant_moderate_severity,0.01716529506181745,native_feature_importance
score_proc_ant_low_severity,0.01695917857563957,native_feature_importance
score_proc_ant_medium_severity,0.016897031303100524,native_feature_importance
