Feature,Importance,Source
Tipo de anestesia propuesta_sedacion,0.05297640942236244,permutation_importance
Tensión Arterial Media (mm/Hg),0.027749604827487184,permutation_importance
Tensión Arterial Diastólica (mm/Hg),0.02203169890297261,permutation_importance
Tipo de anestesia propuesta_peridural,0.02123898993432949,permutation_importance
Tensión Arterial Sistólica (mm/Hg),0.01576069329727512,permutation_importance
Examen_Hemoglobina(g/dl),0.014262142394485288,permutation_importance
Dx Preoperatorio Code_S,0.012780737960042931,permutation_importance
Tipo de anestesia propuesta_local,0.012567289644510083,permutation_importance
Tipo de anestesia propuesta_raquidea,0.012399039923849364,permutation_importance
Dx Preoperatorio Code_Z,0.008558420129449407,permutation_importance
Dx Preoperatorio Code_A,0.006066950024663664,permutation_importance
Examen_PT (INR),0.005773821062103823,permutation_importance
Edad,0.0032440865959688426,permutation_importance
Dx Preoperatorio Code_E,0.002916601658227225,permutation_importance
Dx Preoperatorio Code_C,0.002757933787525535,permutation_importance
predicted_label_proc_ant_encoded,0.0021649937828291054,permutation_importance
Antecedente renales_litiasis,0.0021404087730660494,permutation_importance
Tipo de anestesia propuesta_bloqueo n,0.0019409550015522027,permutation_importance
Dx Preoperatorio Code_G,0.0019026276017164224,permutation_importance
Sexo_encoded,0.0018825183244999487,permutation_importance
Antecedente hematológicos _transfusiones,0.001735134342894562,permutation_importance
Dx Preoperatorio Code_R,0.0017062627160445265,permutation_importance
Dx Preoperatorio Code_H,0.00161258752499851,permutation_importance
Prótesis Dental_movil,0.001569721354129605,permutation_importance
Estado Nutricional_encoded,0.0015412909966855625,permutation_importance
