Feature,Importance,Source
Tipo de anestesia propuesta_sedacion,0.03908982054839148,native_feature_importance
Hora_decimal,0.029021443872923942,native_feature_importance
IMC,0.028509044025881614,native_feature_importance
score_proc_low_severity,0.028431621908168694,native_feature_importance
Edad,0.027745074412939223,native_feature_importance
score_dx_low_severity,0.027359756396653376,native_feature_importance
score_proc_critical,0.027196627910556024,native_feature_importance
Temperatura,0.027151854283303245,native_feature_importance
score_proc_medium_severity,0.02697628576570041,native_feature_importance
score_dx_medium_severity,0.02689355160388308,native_feature_importance
score_dx_critical,0.02676613074873887,native_feature_importance
score_dx_moderate_severity,0.026757913690922723,native_feature_importance
score_proc_high_severity,0.026692289353520735,native_feature_importance
score_dx_high_severity,0.026596630179738408,native_feature_importance
score_proc_moderate_severity,0.02651557335359412,native_feature_importance
Frecuencia Respiratoria,0.025948400368429183,native_feature_importance
Peso (Kg),0.024316349876879417,native_feature_importance
Talla (cm),0.023062748252814118,native_feature_importance
Tensión Arterial Media (mm/Hg),0.02252621893769667,native_feature_importance
Tipo de anestesia propuesta_peridural,0.02055383832907472,native_feature_importance
Tensión Arterial Sistólica (mm/Hg),0.01834117065723553,native_feature_importance
mes,0.0182341256587134,native_feature_importance
Examen_Hemoglobina(g/dl),0.0174342776504395,native_feature_importance
score_proc_ant_critical,0.016989870243644612,native_feature_importance
score_proc_ant_high_severity,0.016831536242894372,native_feature_importance
