Feature,Importance,Source
Tipo de anestesia propuesta_sedacion,0.8404313536022421,abs_coef
Tipo de anestesia propuesta_raquidea,0.4940365968739501,abs_coef
Tipo de anestesia propuesta_local,0.3981504917996951,abs_coef
Tipo de anestesia propuesta_peridural,0.2556917794189256,abs_coef
Dx Preoperatorio Code_O,0.20726158604049325,abs_coef
Dx Preoperatorio Code_H,0.1979943573055104,abs_coef
Procedimiento propuesto Code_L,0.19722663572341262,abs_coef
Dx Preoperatorio Code_S,0.18449120141725128,abs_coef
Grupo Sanguíneo_Sin Dato,0.16023657542839145,abs_coef
Puntaje Mallampati,0.158662846220922,abs_coef
RH_Sin Dato,0.15808993227553375,abs_coef
Procedimiento propuesto Code_NO ENCONTRADO,0.15189229066180177,abs_coef
RH_Positivo,0.14376870511095718,abs_coef
score_proc_high_severity,0.13364891030928677,abs_coef
Examen_PT (INR),0.12870782214237173,abs_coef
score_dx_high_severity,0.10606578670425033,abs_coef
Dx Preoperatorio Code_Z,0.1057413050083279,abs_coef
Antecedente hematológicos _negativo,0.10455503426552552,abs_coef
Dx Preoperatorio Code_G,0.10301480913816077,abs_coef
Grupo Sanguíneo_O,0.09643091711317416,abs_coef
Sexo_encoded,0.09623514102241808,abs_coef
Prótesis Dental_movil,0.09592716140821189,abs_coef
Dx Preoperatorio Code_A,0.09171043763817166,abs_coef
Antecedente renales_negativo,0.09078284374769074,abs_coef
Procedimiento propuesto Code_S,0.08526200236967817,abs_coef
