Feature,Importance,Source
score_proc_critical,0.03006678229748843,native_feature_importance
IMC,0.02979114997340261,native_feature_importance
score_proc_low_severity,0.02944448013880188,native_feature_importance
score_proc_high_severity,0.029416970656143744,native_feature_importance
Hora_decimal,0.029237007155552122,native_feature_importance
Temperatura,0.028880937876407546,native_feature_importance
score_proc_medium_severity,0.02860237513182098,native_feature_importance
score_proc_moderate_severity,0.028377426244531857,native_feature_importance
Frecuencia Respiratoria,0.028281815796508465,native_feature_importance
Edad,0.028077011134582695,native_feature_importance
score_dx_critical,0.02706103833542229,native_feature_importance
score_dx_low_severity,0.026705261061994858,native_feature_importance
score_dx_high_severity,0.026668979194351808,native_feature_importance
score_dx_medium_severity,0.026563747645326367,native_feature_importance
Peso (Kg),0.026389327072879266,native_feature_importance
score_dx_moderate_severity,0.02581063900801283,native_feature_importance
Talla (cm),0.025544305954465944,native_feature_importance
Tipo de anestesia propuesta_sedacion,0.025245366402124755,native_feature_importance
Tensión Arterial Media (mm/Hg),0.023428392434922687,native_feature_importance
mes,0.019460716359449053,native_feature_importance
Tensión Arterial Sistólica (mm/Hg),0.018694977578087406,native_feature_importance
score_proc_ant_critical,0.017912577318505513,native_feature_importance
score_proc_ant_low_severity,0.017524132126296835,native_feature_importance
score_proc_ant_moderate_severity,0.017446436795815964,native_feature_importance
score_proc_ant_medium_severity,0.01740818964695633,native_feature_importance
