Feature,Importance,Source
Tipo de anestesia propuesta_sedacion,0.0661186296833491,permutation_importance
Tipo de anestesia propuesta_peridural,0.018226624193556674,permutation_importance
score_proc_moderate_severity,0.007652372931580298,permutation_importance
Tipo de anestesia propuesta_raquidea,0.0072324505996661514,permutation_importance
Puntaje Mallampati,0.005717364067852881,permutation_importance
Dx Preoperatorio Code_Z,0.005495056067624171,permutation_importance
Examen_Hemoglobina(g/dl),0.005164973200871214,permutation_importance
Tensión Arterial Diastólica (mm/Hg),0.0037045376565447707,permutation_importance
score_proc_high_severity,0.0030645817412414678,permutation_importance
Tipo de anestesia propuesta_general,0.002904430304069927,permutation_importance
Tensión Arterial Sistólica (mm/Hg),0.0026783207785523013,permutation_importance
Dx Preoperatorio Code_S,0.002389079939903316,permutation_importance
score_proc_low_severity,0.0022499506126627987,permutation_importance
Sexo_encoded,0.0020859976502023646,permutation_importance
score_dx_medium_severity,0.0019878078260732847,permutation_importance
score_dx_low_severity,0.001857353774492121,permutation_importance
score_dx_critical,0.0016940506454144356,permutation_importance
Edad,0.0014040949900444798,permutation_importance
score_proc_critical,0.0013596788783355018,permutation_importance
Dx Preoperatorio Code_G,0.0013018437072733536,permutation_importance
score_proc_medium_severity,0.0012633410793471578,permutation_importance
Antecedentes cardiovasculares_negativo,0.0012314017685864486,permutation_importance
Abdomen_normal,0.001110045384363323,permutation_importance
Dx Preoperatorio Code_M,0.0008284400879613463,permutation_importance
Examen_PT (INR),0.0008214868707661971,permutation_importance
