Feature,Importance,Source
Hora_decimal,0.03559826285403689,native_feature_importance
IMC,0.03401385973228123,native_feature_importance
Temperatura,0.03303568776036527,native_feature_importance
Frecuencia Respiratoria,0.03293411902161006,native_feature_importance
Edad,0.03225265015620042,native_feature_importance
score_proc_low_severity,0.03222599232519637,native_feature_importance
score_proc_critical,0.032221452971063616,native_feature_importance
score_dx_low_severity,0.032132272042195736,native_feature_importance
score_proc_high_severity,0.03165866872645588,native_feature_importance
score_proc_medium_severity,0.03144773287502946,native_feature_importance
score_proc_moderate_severity,0.030934623893513633,native_feature_importance
score_dx_critical,0.030805019962207542,native_feature_importance
score_dx_high_severity,0.030697700752964876,native_feature_importance
score_dx_medium_severity,0.029921379230320323,native_feature_importance
score_dx_moderate_severity,0.028801021211283268,native_feature_importance
Peso (Kg),0.0283609504487434,native_feature_importance
Talla (cm),0.027835691822994096,native_feature_importance
Tensión Arterial Media (mm/Hg),0.025904248969788754,native_feature_importance
mes,0.0219020372798946,native_feature_importance
Tensión Arterial Sistólica (mm/Hg),0.020995423930849275,native_feature_importance
score_proc_ant_high_severity,0.01974204098738157,native_feature_importance
score_proc_ant_critical,0.01967959576269485,native_feature_importance
score_proc_ant_low_severity,0.019656820988545584,native_feature_importance
score_proc_ant_medium_severity,0.019481508656193382,native_feature_importance
score_proc_ant_moderate_severity,0.019227583342554734,native_feature_importance
