Feature,Importance,Source
Tipo de anestesia propuesta_sedacion,0.04911408214933688,permutation_importance
Tipo de anestesia propuesta_peridural,0.016152843410949358,permutation_importance
Tipo de anestesia propuesta_raquidea,0.006646105938437374,permutation_importance
score_proc_moderate_severity,0.006368302167324247,permutation_importance
Puntaje Mallampati,0.005094043887147315,permutation_importance
Examen_Hemoglobina(g/dl),0.004027472356087869,permutation_importance
Hora_decimal,0.0032557302307688386,permutation_importance
Sexo_encoded,0.003166962990689104,permutation_importance
Dx Preoperatorio Code_S,0.0028927982865192938,permutation_importance
Edad,0.00249691978976585,permutation_importance
score_proc_critical,0.0023720867969452496,permutation_importance
Talla (cm),0.002188963749694528,permutation_importance
score_dx_low_severity,0.0021132581606075895,permutation_importance
score_proc_high_severity,0.00182369240526723,permutation_importance
anio,0.0015931315210779395,permutation_importance
score_proc_low_severity,0.0015813045535124858,permutation_importance
score_proc_medium_severity,0.001557845568396199,permutation_importance
Dx Preoperatorio Code_H,0.0014129977073877643,permutation_importance
score_dx_critical,0.0012418315943791614,permutation_importance
Antecedentes anestésicos,0.0011795775563145483,permutation_importance
Tipo de anestesia propuesta_general,0.001143381836896995,permutation_importance
Antecedente hematológicos _negativo,0.0011073810674942619,permutation_importance
score_dx_medium_severity,0.001054809546832125,permutation_importance
Dx Preoperatorio Code_Z,0.0010431775292814248,permutation_importance
Abdomen_normal,0.0010405132124122751,permutation_importance
