Feature,Importance,Source
Tipo de anestesia propuesta_sedacion,0.049557658416382,permutation_importance
Tipo de anestesia propuesta_peridural,0.01633070280780007,permutation_importance
Tipo de anestesia propuesta_raquidea,0.006569035699246673,permutation_importance
score_proc_moderate_severity,0.006337045181615419,permutation_importance
Puntaje Mallampati,0.005953838435824954,permutation_importance
Sexo_encoded,0.004109871229016804,permutation_importance
Examen_Hemoglobina(g/dl),0.0036793566129643684,permutation_importance
score_proc_critical,0.002900011437067507,permutation_importance
score_dx_critical,0.0028857800859858783,permutation_importance
Hora_decimal,0.002599788414250548,permutation_importance
score_proc_medium_severity,0.002341739577972168,permutation_importance
Dx Preoperatorio Code_S,0.0022518676211418453,permutation_importance
score_proc_high_severity,0.002049509505762681,permutation_importance
Talla (cm),0.0017849623356571253,permutation_importance
Edad,0.0017661821508964115,permutation_importance
Dx Preoperatorio Code_H,0.0017509110664025273,permutation_importance
score_dx_medium_severity,0.0017483117328716436,permutation_importance
score_proc_low_severity,0.0017336904817604414,permutation_importance
Tipo de anestesia propuesta_general,0.0017011338292860945,permutation_importance
Dx Preoperatorio Code_Z,0.0016471976585203274,permutation_importance
score_dx_low_severity,0.001360426186725694,permutation_importance
score_dx_moderate_severity,0.0012804966806510443,permutation_importance
anio,0.0012222716095592555,permutation_importance
Dx Preoperatorio Code_G,0.0011079009342003898,permutation_importance
Tensión Arterial Diastólica (mm/Hg),0.0010235525611233197,permutation_importance
