Feature,Importance,Source
Tipo de anestesia propuesta_sedacion,0.048151591479998236,permutation_importance
Tipo de anestesia propuesta_raquidea,0.034870422975655034,permutation_importance
Tipo de anestesia propuesta_peridural,0.016997090836877993,permutation_importance
score_proc_medium_severity,0.0083637355526212,permutation_importance
Examen_Hemoglobina(g/dl),0.006854212009399729,permutation_importance
Edad,0.005681690304805831,permutation_importance
Dx Preoperatorio Code_S,0.00562321030544497,permutation_importance
score_proc_low_severity,0.0051753201620184045,permutation_importance
score_dx_low_severity,0.005036584238476039,permutation_importance
score_dx_critical,0.004470273237639488,permutation_importance
score_proc_moderate_severity,0.004413756267140867,permutation_importance
score_proc_critical,0.003957009667917122,permutation_importance
score_proc_high_severity,0.0038039390684971863,permutation_importance
Dx Preoperatorio Code_A,0.0032161260538440704,permutation_importance
Dx Preoperatorio Code_Z,0.002969195283709025,permutation_importance
score_dx_high_severity,0.0024270797548952895,permutation_importance
Antecedente hematológicos _negativo,0.0024063994740908257,permutation_importance
score_dx_moderate_severity,0.0022860612396527593,permutation_importance
Tipo de anestesia propuesta_general,0.0022058509673053006,permutation_importance
Sexo_encoded,0.0020107806806004104,permutation_importance
Dx Preoperatorio Code_H,0.0019155053030311731,permutation_importance
Tipo de anestesia propuesta_local,0.0018323733133073672,permutation_importance
anio,0.0017649912063154804,permutation_importance
Dx Preoperatorio Code_G,0.0013428943491018198,permutation_importance
Hora_decimal,0.0012351560208492041,permutation_importance
