Feature,Importance,Source
Tipo de anestesia propuesta_sedacion,0.0503811357491523,permutation_importance
Tipo de anestesia propuesta_raquidea,0.03538131265000906,permutation_importance
Tipo de anestesia propuesta_peridural,0.01681201830182022,permutation_importance
score_proc_medium_severity,0.00856204711954045,permutation_importance
Examen_Hemoglobina(g/dl),0.007203220280370659,permutation_importance
Edad,0.0059754598566303715,permutation_importance
Dx Preoperatorio Code_S,0.005955190442332036,permutation_importance
score_dx_low_severity,0.005455028948969209,permutation_importance
score_proc_low_severity,0.005199469982207194,permutation_importance
score_proc_moderate_severity,0.004828548830913637,permutation_importance
score_proc_high_severity,0.004559613876787982,permutation_importance
score_dx_critical,0.003923501221757175,permutation_importance
score_proc_critical,0.003567599523851417,permutation_importance
Dx Preoperatorio Code_A,0.003325736107290922,permutation_importance
Dx Preoperatorio Code_Z,0.0031476026510020017,permutation_importance
score_dx_moderate_severity,0.0027812010312749267,permutation_importance
Antecedente hematológicos _negativo,0.002612791415629112,permutation_importance
score_dx_high_severity,0.002569604780660062,permutation_importance
score_dx_medium_severity,0.0021974053780142943,permutation_importance
Dx Preoperatorio Code_H,0.002163440413514306,permutation_importance
Sexo_encoded,0.002060404224164203,permutation_importance
Tipo de anestesia propuesta_general,0.0018194994961179046,permutation_importance
anio,0.0016330117542059154,permutation_importance
Tipo de anestesia propuesta_local,0.0015123996087637703,permutation_importance
Hora_decimal,0.0014743716310372968,permutation_importance
