Feature,Importance,Source
Tipo de anestesia propuesta_raquidea,0.118792094,native_feature_importance
Tipo de anestesia propuesta_sedacion,0.07761905,native_feature_importance
Tipo de anestesia propuesta_peridural,0.0653782,native_feature_importance
Tipo de anestesia propuesta_general,0.03743116,native_feature_importance
Antecedente renales_negativo,0.03325043,native_feature_importance
Dx Preoperatorio Code_O,0.030335328,native_feature_importance
Tipo de anestesia propuesta_sin dato,0.028995022,native_feature_importance
Dx Preoperatorio Code_Z,0.025891079,native_feature_importance
Dx Preoperatorio Code_A,0.025435636,native_feature_importance
Tipo de anestesia propuesta_local,0.021951554,native_feature_importance
Dx Preoperatorio Code_S,0.021191463,native_feature_importance
Examen_PT (INR),0.016345695,native_feature_importance
Antecedente renales_litiasis,0.014365357,native_feature_importance
Procedimiento propuesto Code_L,0.01327022,native_feature_importance
Antecedente hematológicos _negativo,0.01251111,native_feature_importance
Prótesis Dental_movil,0.012169224,native_feature_importance
Antecedentes cardiovasculares_negativo,0.0113398135,native_feature_importance
Examen_Hemoglobina(g/dl),0.010422952,native_feature_importance
Dx Preoperatorio Code_H,0.00994956,native_feature_importance
Sexo_encoded,0.009791935,native_feature_importance
score_dx_low_severity,0.009634664,native_feature_importance
predicted_label_proc_encoded,0.009474892,native_feature_importance
RH_Sin Dato,0.0093423845,native_feature_importance
Antecedente gastrointestinales_gastritis,0.009291543,native_feature_importance
score_proc_critical,0.008930163,native_feature_importance
