Feature,Importance,Source
Tipo de anestesia propuesta_sedacion,0.06236007729925368,permutation_importance
Tipo de anestesia propuesta_raquidea,0.03866321963713655,permutation_importance
Tipo de anestesia propuesta_peridural,0.021897451670585922,permutation_importance
Dx Preoperatorio Code_Z,0.008279918999281021,permutation_importance
Examen_Hemoglobina(g/dl),0.0072445635327514244,permutation_importance
Dx Preoperatorio Code_S,0.006713316956426985,permutation_importance
Dx Preoperatorio Code_A,0.005859414799292617,permutation_importance
Sexo_encoded,0.0054625860728531265,permutation_importance
Tipo de anestesia propuesta_local,0.004216505994144315,permutation_importance
Edad,0.0035083130739638423,permutation_importance
Dx Preoperatorio Code_O,0.0028594538756428365,permutation_importance
Antecedente renales_negativo,0.0027652151440755056,permutation_importance
Antecedente hematológicos _negativo,0.002678120432352227,permutation_importance
Dx Preoperatorio Code_E,0.0026471949773225313,permutation_importance
Examen_PT (INR),0.0025514938792771335,permutation_importance
score_dx_low_severity,0.0023739721781181667,permutation_importance
Procedimiento propuesto Code_C,0.0022478730359040133,permutation_importance
Tipo de anestesia propuesta_general,0.0021338563970502824,permutation_importance
predicted_label_proc_encoded,0.002131339208850136,permutation_importance
score_dx_high_severity,0.0020024591730053885,permutation_importance
Procedimiento propuesto Code_S,0.0019348067434753035,permutation_importance
Dx Preoperatorio Code_H,0.001775001252600883,permutation_importance
score_proc_critical,0.0016729951974446822,permutation_importance
score_dx_critical,0.001628045408157286,permutation_importance
Hora_decimal,0.0013098728196655252,permutation_importance
