Feature,Importance,Source
score_proc_critical,421,native_feature_importance
score_dx_low_severity,415,native_feature_importance
score_proc_high_severity,409,native_feature_importance
Hora_decimal,406,native_feature_importance
score_dx_critical,395,native_feature_importance
Edad,384,native_feature_importance
IMC,366,native_feature_importance
score_proc_medium_severity,364,native_feature_importance
score_proc_low_severity,353,native_feature_importance
Temperatura,333,native_feature_importance
score_proc_moderate_severity,317,native_feature_importance
score_dx_high_severity,299,native_feature_importance
Frecuencia Respiratoria,298,native_feature_importance
score_dx_medium_severity,254,native_feature_importance
Talla (cm),251,native_feature_importance
score_dx_moderate_severity,235,native_feature_importance
Peso (Kg),231,native_feature_importance
Tensión Arterial Media (mm/Hg),208,native_feature_importance
score_proc_ant_high_severity,204,native_feature_importance
score_proc_ant_critical,188,native_feature_importance
score_proc_ant_low_severity,174,native_feature_importance
Examen_Hemoglobina(g/dl),173,native_feature_importance
Tensión Arterial Sistólica (mm/Hg),165,native_feature_importance
score_proc_ant_moderate_severity,148,native_feature_importance
Antecedentes anestésicos,147,native_feature_importance
