Feature,Importance,Source
Tipo de anestesia propuesta_raquidea,1.215111233115955,abs_coef
Tipo de anestesia propuesta_sedacion,1.1984305660504728,abs_coef
Tipo de anestesia propuesta_local,0.5582645596160526,abs_coef
Tipo de anestesia propuesta_peridural,0.5357622409394285,abs_coef
Dx Preoperatorio Code_O,0.411923112410172,abs_coef
Procedimiento propuesto Code_L,0.38773735741796295,abs_coef
Dx Preoperatorio Code_S,0.33114700023494476,abs_coef
Grupo Sanguíneo_Sin Dato,0.3259920677608714,abs_coef
RH_Sin Dato,0.325810263463532,abs_coef
Dx Preoperatorio Code_H,0.27476188244911603,abs_coef
Dx Preoperatorio Code_Z,0.26655550188137117,abs_coef
Antecedente hematológicos _negativo,0.22200955975352232,abs_coef
Grupo Sanguíneo_O,0.21678378923984193,abs_coef
Dx Preoperatorio Code_A,0.19670153531375834,abs_coef
Tipo de anestesia propuesta_general,0.19561530596569646,abs_coef
Antecedente renales_negativo,0.18546922519471024,abs_coef
Examen_PT (INR),0.18432849764789208,abs_coef
score_proc_high_severity,0.18110485377831104,abs_coef
Procedimiento propuesto Code_S,0.16401947720204124,abs_coef
score_dx_high_severity,0.15827695724519972,abs_coef
Procedimiento propuesto Code_NO ENCONTRADO,0.12803035365455068,abs_coef
Antecedente renales_litiasis,0.12284824018242393,abs_coef
Prótesis Dental_no,0.11603036015001851,abs_coef
score_proc_critical,0.09588209271190257,abs_coef
Grupo Sanguíneo_A,0.09158760922884512,abs_coef
