Feature,Importance,Source
Tipo de anestesia propuesta_raquidea,0.13383518,native_feature_importance
Tipo de anestesia propuesta_sedacion,0.09259496,native_feature_importance
Tipo de anestesia propuesta_peridural,0.08324128,native_feature_importance
Dx Preoperatorio Code_O,0.05969069,native_feature_importance
Tipo de anestesia propuesta_general,0.03741727,native_feature_importance
Dx Preoperatorio Code_A,0.034079384,native_feature_importance
Dx Preoperatorio Code_Z,0.026417065,native_feature_importance
Dx Preoperatorio Code_S,0.019797483,native_feature_importance
Antecedente renales_litiasis,0.01574961,native_feature_importance
Dx Preoperatorio Code_E,0.014151505,native_feature_importance
Examen_PT (INR),0.013763533,native_feature_importance
Tipo de anestesia propuesta_local,0.013652863,native_feature_importance
Procedimiento propuesto Code_L,0.01326285,native_feature_importance
Antecedente renales_negativo,0.013112186,native_feature_importance
Antecedente hematológicos _negativo,0.013089426,native_feature_importance
Sexo_encoded,0.012466597,native_feature_importance
Dx Preoperatorio Code_H,0.012121345,native_feature_importance
Examen_Hemoglobina(g/dl),0.010539226,native_feature_importance
RH_Sin Dato,0.01011504,native_feature_importance
Procedimiento propuesto Code_NO ENCONTRADO,0.010110135,native_feature_importance
Dx Preoperatorio Code_M,0.009757725,native_feature_importance
score_proc_critical,0.00931336,native_feature_importance
score_dx_low_severity,0.008993878,native_feature_importance
Estado Nutricional_encoded,0.008952035,native_feature_importance
Edad,0.008560318,native_feature_importance
