Feature,Importance,Source
Tipo de anestesia propuesta_sedacion,0.024271973325551487,native_feature_importance
Edad,0.021055904884884836,native_feature_importance
Tipo de anestesia propuesta_raquidea,0.02085346851270708,native_feature_importance
Temperatura,0.01729261261007605,native_feature_importance
score_proc_high_severity,0.01727709981575423,native_feature_importance
Hora_decimal,0.017242624478634058,native_feature_importance
Frecuencia Respiratoria,0.016883115618664415,native_feature_importance
IMC,0.016837275713627815,native_feature_importance
score_proc_critical,0.016829968515730175,native_feature_importance
mes,0.0168235710521432,native_feature_importance
Tensión Arterial Media (mm/Hg),0.016523807579698093,native_feature_importance
Talla (cm),0.01649145601379265,native_feature_importance
score_proc_moderate_severity,0.016422711003682,native_feature_importance
score_proc_low_severity,0.016401930905981847,native_feature_importance
score_dx_low_severity,0.01631667531271607,native_feature_importance
score_proc_medium_severity,0.016253120698937175,native_feature_importance
Tensión Arterial Sistólica (mm/Hg),0.01622237722710145,native_feature_importance
score_dx_critical,0.016191218834015725,native_feature_importance
score_dx_moderate_severity,0.015950650775810694,native_feature_importance
score_dx_high_severity,0.015895360202887916,native_feature_importance
dia_semana,0.015894093655060837,native_feature_importance
Peso (Kg),0.015837715092048166,native_feature_importance
score_dx_medium_severity,0.015830470926379292,native_feature_importance
anio,0.015373049701133906,native_feature_importance
Tensión Arterial Diastólica (mm/Hg),0.015299703578598207,native_feature_importance
