Feature,Importance,Source
Tipo de anestesia propuesta_sedacion,0.8391142460146053,abs_coef
Tipo de anestesia propuesta_raquidea,0.7056834021673887,abs_coef
Tipo de anestesia propuesta_peridural,0.29679044499282414,abs_coef
Tipo de anestesia propuesta_local,0.24301224621267173,abs_coef
Tipo de anestesia propuesta_bloqueo n,0.2366556332013838,abs_coef
Dx Preoperatorio Code_K,0.23401746753885996,abs_coef
Dx Preoperatorio Code_O,0.22934931895128713,abs_coef
Examen_Na (meq/L),0.22765202420891126,abs_coef
Procedimiento propuesto Code_L,0.2187364118391154,abs_coef
Grupo Sanguíneo_Sin Dato,0.18255938628886403,abs_coef
RH_Sin Dato,0.17385356119564865,abs_coef
Prótesis Dental_movil,0.15697653960087407,abs_coef
RH_Positivo,0.14650801852893003,abs_coef
Dx Preoperatorio Code_Z,0.1393505076822436,abs_coef
Procedimiento propuesto Code_C,0.13808237878913818,abs_coef
Procedimiento propuesto Code_G,0.12857543884718622,abs_coef
Sistema Nervioso_Sin dato,0.12283533978168999,abs_coef
Sistema Nervioso_normal,0.12167289141325689,abs_coef
Grupo Sanguíneo_O,0.12097812330164154,abs_coef
Examen_PT (INR),0.11988800390642924,abs_coef
Antecedente endocrinológicos_diabetes,0.10511619145660403,abs_coef
Dx Preoperatorio Code_G,0.10504934651408074,abs_coef
predicted_label_proc_encoded,0.09867342087580781,abs_coef
Antecedentes cardiovasculares_negativo,0.09249183019143782,abs_coef
Dx Preoperatorio Code_S,0.0922842815698919,abs_coef
