Feature,Importance,Source
Edad,0.032465989016816604,native_feature_importance
IMC,0.029346184747254343,native_feature_importance
score_proc_low_severity,0.029238401855573005,native_feature_importance
score_proc_critical,0.029122340282634055,native_feature_importance
Hora_decimal,0.028762370308978793,native_feature_importance
score_proc_high_severity,0.02867193165990895,native_feature_importance
score_proc_medium_severity,0.02843591262924835,native_feature_importance
score_proc_moderate_severity,0.028433836711722,native_feature_importance
Temperatura,0.02819694001622972,native_feature_importance
Frecuencia Respiratoria,0.02737281857856283,native_feature_importance
score_dx_critical,0.02697500395177247,native_feature_importance
score_dx_low_severity,0.026769987818561936,native_feature_importance
score_dx_medium_severity,0.026506458498955523,native_feature_importance
score_dx_moderate_severity,0.026289791957572823,native_feature_importance
score_dx_high_severity,0.025534874415401573,native_feature_importance
Peso (Kg),0.025314406085255106,native_feature_importance
Tensión Arterial Media (mm/Hg),0.024391149849656728,native_feature_importance
Talla (cm),0.024312355400862545,native_feature_importance
Tipo de anestesia propuesta_sedacion,0.020514886501112647,native_feature_importance
Tensión Arterial Sistólica (mm/Hg),0.02041862003315592,native_feature_importance
mes,0.018980366179928328,native_feature_importance
Tipo de anestesia propuesta_raquidea,0.01796595422333147,native_feature_importance
score_proc_ant_low_severity,0.01717803816855893,native_feature_importance
score_proc_ant_critical,0.017090150639039528,native_feature_importance
score_proc_ant_high_severity,0.0170204284850303,native_feature_importance
