Feature,SHAP_TP,SHAP_FN,SHAP_FP,SHAP_TN,Delta_TP_FN,AbsDelta,N_TP,N_FN,N_FP,N_TN
Tipo de anestesia propuesta_sedacion,0.01813523082468229,-0.13847063424656156,-0.08158296788692838,-0.15242013641068594,0.15660586507124385,0.15660586507124385,10,10,10,10
Tipo de anestesia propuesta_raquidea,0.14125451342980788,-0.004356405301834741,-0.014511053349447734,-0.012236200142307493,0.1456109187316426,0.1456109187316426,10,10,10,10
Tipo de anestesia propuesta_general,0.07589690330643512,-0.0007271281708235403,-0.0008443210238508779,-0.0008701469967889695,0.07662403147725866,0.07662403147725866,10,10,10,10
Dx Preoperatorio Code_O,0.0749865582709655,0.0,0.0,0.0,0.0749865582709655,0.0749865582709655,10,10,10,10
Dx Preoperatorio Code_S,0.015124650461811388,-0.01992339130816948,-0.00037618410790056685,0.006332904319621279,0.03504804176998087,0.03504804176998087,10,10,10,10
score_proc_critical,0.03487407685506449,0.0011976439451143754,-0.012307669242634812,-0.013332027132319341,0.033676432909950114,0.033676432909950114,10,10,10,10
score_proc_high_severity,0.024755198181144418,-0.00425013308669556,-0.00431693342024552,7.540131283345717e-05,0.029005331267839978,0.029005331267839978,10,10,10,10
score_proc_medium_severity,0.024839966622433738,-0.0040407619165724025,-0.014495129810339801,-0.0035884125644413734,0.02888072853900614,0.02888072853900614,10,10,10,10
Tipo de anestesia propuesta_peridural,0.024735648322491196,-0.00379911073325951,-0.004181498411083482,-0.0025268558504241523,0.028534759055750706,0.028534759055750706,10,10,10,10
score_proc_low_severity,0.011574842439970432,-0.011776861997187003,-0.017980709026788215,-0.010946642383336307,0.023351704437157436,0.023351704437157436,10,10,10,10
Edad,0.01757814781922456,-0.0037734414714418727,-0.011282304870486962,-0.00571580809931366,0.021351589290666433,0.021351589290666433,10,10,10,10
IMC,0.01361406044031061,-0.007728837802928842,-0.005312001432160877,-0.0030313765539082913,0.021342898243239452,0.021342898243239452,10,10,10,10
score_dx_low_severity,0.011677887905485382,-0.007702935725386395,-0.013720014745004663,-0.016244325553100614,0.019380823630871777,0.019380823630871777,10,10,10,10
score_dx_medium_severity,0.01439043830046625,-0.0032792485869686987,-0.009917433137973131,-0.0008985762373589813,0.01766968688743495,0.01766968688743495,10,10,10,10
Procedimiento propuesto Code_L,0.016822193083190908,-0.000720978630883278,-0.0007284734660977234,-0.0007761599282144637,0.017543171714074185,0.017543171714074185,10,10,10,10
score_proc_moderate_severity,0.013122583109985816,-0.0023556275904649134,0.001173644196069482,-0.006406161375361446,0.01547821070045073,0.01547821070045073,10,10,10,10
Examen_Hemoglobina(g/dl),0.005452968857327341,-0.006559288559937149,-0.013665617050464512,-0.008457155721176172,0.012012257417264489,0.012012257417264489,10,10,10,10
Tipo de anestesia propuesta_local,0.0021375210633498174,-0.008576299231595249,-0.0032846954044791314,-0.01279373080241335,0.010713820294945067,0.010713820294945067,10,10,10,10
Dx Preoperatorio Code_Z,0.006344828881315337,-0.001177478221486414,-0.001256232668793386,-0.001296930256913797,0.007522307102801751,0.007522307102801751,10,10,10,10
Sexo_encoded,0.005220477931142985,-0.000945873741033548,-0.005905064444176924,-0.002448587056498347,0.006166351672176533,0.006166351672176533,10,10,10,10
