Feature,Importance,Source
Tipo de anestesia propuesta_raquidea,0.036335217882592225,native_feature_importance
Tipo de anestesia propuesta_sedacion,0.031464565207007515,native_feature_importance
Edad,0.02381696441730638,native_feature_importance
Hora_decimal,0.022811782900847552,native_feature_importance
score_proc_critical,0.02266329451996042,native_feature_importance
Frecuencia Respiratoria,0.022118468509547497,native_feature_importance
score_proc_high_severity,0.02196017000459369,native_feature_importance
IMC,0.02173863548351684,native_feature_importance
Temperatura,0.02171639117413999,native_feature_importance
mes,0.021583309401393753,native_feature_importance
Talla (cm),0.021285191572408234,native_feature_importance
score_dx_low_severity,0.021213774539117162,native_feature_importance
score_dx_high_severity,0.021212706381283527,native_feature_importance
score_proc_low_severity,0.020988966285542067,native_feature_importance
dia_semana,0.020955809316044387,native_feature_importance
score_dx_critical,0.020943741578834645,native_feature_importance
score_proc_medium_severity,0.02082517270571478,native_feature_importance
score_dx_medium_severity,0.02042653074045891,native_feature_importance
score_proc_moderate_severity,0.020186895785638523,native_feature_importance
Peso (Kg),0.020173062777263495,native_feature_importance
Tipo de anestesia propuesta_peridural,0.020081925171499752,native_feature_importance
anio,0.02002987465563534,native_feature_importance
score_dx_moderate_severity,0.0199849648928158,native_feature_importance
Tensión Arterial Media (mm/Hg),0.01955704370433301,native_feature_importance
Tensión Arterial Sistólica (mm/Hg),0.019469883665710844,native_feature_importance
