Feature,Importance,Source
Tipo de anestesia propuesta_sedacion,0.06414050721470173,permutation_importance
Tipo de anestesia propuesta_raquidea,0.04599999771740835,permutation_importance
Tipo de anestesia propuesta_peridural,0.016939135833608267,permutation_importance
Examen_Hemoglobina(g/dl),0.007472862837923477,permutation_importance
Dx Preoperatorio Code_S,0.007458071643705733,permutation_importance
Edad,0.007012692351149341,permutation_importance
score_proc_medium_severity,0.006114606646678777,permutation_importance
score_proc_low_severity,0.00560008765152129,permutation_importance
score_dx_low_severity,0.0049878280797583715,permutation_importance
Sexo_encoded,0.0041685374407810505,permutation_importance
Dx Preoperatorio Code_A,0.004163949431463543,permutation_importance
Dx Preoperatorio Code_Z,0.003846235492703154,permutation_importance
score_proc_moderate_severity,0.003603755776383677,permutation_importance
score_dx_critical,0.0032683517519461747,permutation_importance
score_proc_high_severity,0.003053696828453045,permutation_importance
Antecedente hematológicos _negativo,0.0025169225642178938,permutation_importance
anio,0.002290557945302263,permutation_importance
score_dx_high_severity,0.002261272293787875,permutation_importance
Dx Preoperatorio Code_H,0.0020938213666561677,permutation_importance
score_dx_medium_severity,0.0020691693762932895,permutation_importance
Tipo de anestesia propuesta_general,0.001855176404393122,permutation_importance
Dx Preoperatorio Code_O,0.0018365048042848996,permutation_importance
score_proc_critical,0.0017211882715873817,permutation_importance
score_dx_moderate_severity,0.0015648079142019488,permutation_importance
Puntaje Mallampati,0.0015362526920316144,permutation_importance
