Feature,Importance,Source
Tipo de anestesia propuesta_sedacion,0.0546448344379175,permutation_importance
Tipo de anestesia propuesta_raquidea,0.03927541409066684,permutation_importance
Tipo de anestesia propuesta_peridural,0.016430277665867354,permutation_importance
score_proc_medium_severity,0.01055543445138476,permutation_importance
Dx Preoperatorio Code_S,0.006504427657250611,permutation_importance
score_dx_low_severity,0.005769547259349239,permutation_importance
score_proc_high_severity,0.005753226728692362,permutation_importance
Examen_Hemoglobina(g/dl),0.005657449180949037,permutation_importance
Edad,0.005109330435963622,permutation_importance
score_proc_low_severity,0.005089951232428258,permutation_importance
score_proc_moderate_severity,0.004424872488721121,permutation_importance
Dx Preoperatorio Code_A,0.004074859877402015,permutation_importance
Dx Preoperatorio Code_H,0.003863811448795218,permutation_importance
Dx Preoperatorio Code_Z,0.0037055137143815696,permutation_importance
score_dx_high_severity,0.0031612068975356068,permutation_importance
score_dx_critical,0.003150638497963354,permutation_importance
Sexo_encoded,0.002618703328132832,permutation_importance
score_dx_moderate_severity,0.0025761329929228525,permutation_importance
Antecedente hematológicos _negativo,0.0024358220811073307,permutation_importance
score_dx_medium_severity,0.002420209153877484,permutation_importance
Tipo de anestesia propuesta_general,0.0021250928729498186,permutation_importance
score_proc_critical,0.0021044810698964246,permutation_importance
Hora_decimal,0.001893866333712646,permutation_importance
Dx Preoperatorio Code_O,0.0012953707899022505,permutation_importance
Dx Preoperatorio Code_G,0.0012510200331660615,permutation_importance
