Feature,Importance,Source
Tipo de anestesia propuesta_sedacion,0.04359937320031906,permutation_importance
Tipo de anestesia propuesta_raquidea,0.03372969777344594,permutation_importance
Tipo de anestesia propuesta_peridural,0.017384035781907482,permutation_importance
Edad,0.006940105935080787,permutation_importance
score_proc_medium_severity,0.006812623188620836,permutation_importance
Examen_Hemoglobina(g/dl),0.005156374650906103,permutation_importance
Dx Preoperatorio Code_S,0.0048186423829343905,permutation_importance
score_proc_low_severity,0.0046509631966326955,permutation_importance
score_dx_critical,0.004392094471905294,permutation_importance
Tipo de anestesia propuesta_local,0.00411398349914458,permutation_importance
score_proc_critical,0.0039244827361883065,permutation_importance
score_proc_moderate_severity,0.0036377892186345573,permutation_importance
score_proc_high_severity,0.0036310783990358255,permutation_importance
score_dx_low_severity,0.002813202966912609,permutation_importance
Dx Preoperatorio Code_A,0.0027046429056479136,permutation_importance
Dx Preoperatorio Code_Z,0.002519227981835126,permutation_importance
Antecedente hematológicos _negativo,0.0024947585988082553,permutation_importance
score_dx_high_severity,0.0018141125797052516,permutation_importance
Sexo_encoded,0.0017755824318047343,permutation_importance
Dx Preoperatorio Code_H,0.0017709715965701588,permutation_importance
Procedimiento propuesto Code_L,0.0015104365799015085,permutation_importance
Tipo de anestesia propuesta_general,0.001467158641264521,permutation_importance
Examen_PT (INR),0.0013738691184744356,permutation_importance
score_dx_medium_severity,0.001301807698497015,permutation_importance
predicted_label_proc_encoded,0.001197744342881757,permutation_importance
