Feature,Importance,Source
Tipo de anestesia propuesta_raquidea,0.054721701939363564,permutation_importance
Tipo de anestesia propuesta_sedacion,0.046157335287787316,permutation_importance
Tipo de anestesia propuesta_peridural,0.030262423960623775,permutation_importance
Dx Preoperatorio Code_S,0.012885618622886485,permutation_importance
Dx Preoperatorio Code_Z,0.00983963612598997,permutation_importance
Tipo de anestesia propuesta_local,0.006764465249921203,permutation_importance
Antecedente hematológicos _negativo,0.005485518039731896,permutation_importance
Edad,0.005258899463838751,permutation_importance
Sexo_encoded,0.005056536431037739,permutation_importance
Dx Preoperatorio Code_A,0.0039883585068510195,permutation_importance
Examen_Hemoglobina(g/dl),0.0038153589834972967,permutation_importance
score_dx_low_severity,0.0037955108856601917,permutation_importance
Dx Preoperatorio Code_K,0.003562733561761622,permutation_importance
Procedimiento propuesto Code_C,0.0029374601031342262,permutation_importance
Dx Preoperatorio Code_H,0.0027734797889447105,permutation_importance
score_proc_critical,0.002589914072330601,permutation_importance
Tipo de anestesia propuesta_general,0.0023258759943386885,permutation_importance
Dx Preoperatorio Code_NO ENCONTRADO,0.0021605238263280534,permutation_importance
Procedimiento propuesto Code_A,0.0020646691891264444,permutation_importance
predicted_label_dx_encoded,0.0018240110028514777,permutation_importance
score_proc_moderate_severity,0.0018085411618901982,permutation_importance
score_proc_high_severity,0.0016885769234923798,permutation_importance
score_dx_moderate_severity,0.0016867380556045085,permutation_importance
Dx Preoperatorio Code_O,0.0015877602618315167,permutation_importance
anio,0.0014710067451426667,permutation_importance
