Feature,Importance,Source
Tipo de anestesia propuesta_sedacion,0.06338598041284624,permutation_importance
Tipo de anestesia propuesta_raquidea,0.06206039017273972,permutation_importance
Tipo de anestesia propuesta_peridural,0.02703056986515844,permutation_importance
Dx Preoperatorio Code_S,0.011604394719121692,permutation_importance
Tipo de anestesia propuesta_local,0.010868847563981699,permutation_importance
score_dx_low_severity,0.009367514092879193,permutation_importance
Edad,0.007286295092762152,permutation_importance
Dx Preoperatorio Code_Z,0.006736240087261614,permutation_importance
score_proc_moderate_severity,0.005579738127699763,permutation_importance
score_proc_low_severity,0.0048816396630376735,permutation_importance
score_proc_medium_severity,0.00477031518487483,permutation_importance
Examen_Hemoglobina(g/dl),0.004481525361344873,permutation_importance
Tipo de anestesia propuesta_general,0.004084359085948397,permutation_importance
Antecedente hematológicos _negativo,0.003536434832127444,permutation_importance
score_dx_moderate_severity,0.0034872816016013664,permutation_importance
score_dx_medium_severity,0.003415244681804386,permutation_importance
Dx Preoperatorio Code_H,0.0032642823847255807,permutation_importance
Dx Preoperatorio Code_A,0.0029385692615427894,permutation_importance
score_dx_critical,0.0025874038717217164,permutation_importance
score_proc_high_severity,0.002450773068816603,permutation_importance
Dx Preoperatorio Code_K,0.0023665645949047633,permutation_importance
score_proc_critical,0.002259238924688378,permutation_importance
Hora_decimal,0.0020997536208914092,permutation_importance
Procedimiento propuesto Code_A,0.0018874957275510028,permutation_importance
Sexo_encoded,0.00174234191792757,permutation_importance
