Feature,Importance,Source
Tipo de anestesia propuesta_raquidea,1.58541828447619,abs_coef
Tipo de anestesia propuesta_sedacion,1.3678458262861888,abs_coef
Tipo de anestesia propuesta_peridural,0.7595864531694527,abs_coef
Tipo de anestesia propuesta_local,0.7227720655083408,abs_coef
Dx Preoperatorio Code_S,0.5025510353663931,abs_coef
Dx Preoperatorio Code_O,0.49924044788777644,abs_coef
Procedimiento propuesto Code_L,0.44207813560262194,abs_coef
Dx Preoperatorio Code_Z,0.389161449365556,abs_coef
Grupo Sanguíneo_Sin Dato,0.35016595586387017,abs_coef
RH_Sin Dato,0.3367762504240342,abs_coef
Dx Preoperatorio Code_H,0.3296126908246245,abs_coef
Antecedente hematológicos _negativo,0.30113063357663167,abs_coef
Tipo de anestesia propuesta_general,0.29785087548205763,abs_coef
Dx Preoperatorio Code_NO ENCONTRADO,0.27730217378777827,abs_coef
Dx Preoperatorio Code_A,0.27301487297451554,abs_coef
Dx Preoperatorio Code_K,0.2589709718294207,abs_coef
Procedimiento propuesto Code_NO ENCONTRADO,0.25064725645125013,abs_coef
Antecedente renales_negativo,0.24126330954530112,abs_coef
Grupo Sanguíneo_O,0.20881684421934488,abs_coef
Procedimiento propuesto Code_S,0.1977554894585946,abs_coef
score_proc_high_severity,0.1773678471040175,abs_coef
Antecedente renales_litiasis,0.1649226473522776,abs_coef
Grupo Sanguíneo_A,0.14453870536023689,abs_coef
score_dx_high_severity,0.14365889433229623,abs_coef
Tipo de anestesia propuesta_sin dato,0.1391825672127607,abs_coef
