Feature,Importance,Source
Tipo de anestesia propuesta_raquidea,0.04996840357954604,permutation_importance
Tipo de anestesia propuesta_sedacion,0.04190274957450639,permutation_importance
Tipo de anestesia propuesta_peridural,0.028808988619742792,permutation_importance
Dx Preoperatorio Code_S,0.007772748620046332,permutation_importance
Edad,0.006760408065216139,permutation_importance
Examen_Hemoglobina(g/dl),0.0061454672928157985,permutation_importance
Tipo de anestesia propuesta_local,0.005677957023614244,permutation_importance
Dx Preoperatorio Code_Z,0.005396814555427398,permutation_importance
score_dx_low_severity,0.004706626141520997,permutation_importance
score_proc_low_severity,0.004466434969312738,permutation_importance
score_proc_critical,0.004080360278001782,permutation_importance
score_proc_high_severity,0.0035172580670112417,permutation_importance
score_proc_medium_severity,0.0034171711148296424,permutation_importance
score_proc_moderate_severity,0.0032303071113690906,permutation_importance
score_dx_moderate_severity,0.0032047964679725815,permutation_importance
Antecedente hematológicos _negativo,0.0029893862296815677,permutation_importance
score_dx_high_severity,0.0024417830480315096,permutation_importance
score_dx_medium_severity,0.0023603474701409553,permutation_importance
Dx Preoperatorio Code_A,0.0022510078017618173,permutation_importance
score_dx_critical,0.002038312082733795,permutation_importance
Dx Preoperatorio Code_O,0.0018795273000369983,permutation_importance
Dx Preoperatorio Code_H,0.0013782168877540136,permutation_importance
Tipo de anestesia propuesta_general,0.0012823038737940883,permutation_importance
anio,0.001065288274648557,permutation_importance
Hora_decimal,0.0010487968404162995,permutation_importance
