Feature,Importance,Source
Tipo de anestesia propuesta_raquidea,0.04796940824355722,permutation_importance
Tipo de anestesia propuesta_sedacion,0.04569516649197427,permutation_importance
Tipo de anestesia propuesta_peridural,0.026894814713628555,permutation_importance
Dx Preoperatorio Code_S,0.008874142919731098,permutation_importance
score_dx_low_severity,0.0077902616475497895,permutation_importance
score_proc_medium_severity,0.006858159947064002,permutation_importance
Edad,0.006424770893114817,permutation_importance
score_proc_moderate_severity,0.005580117576629062,permutation_importance
Tipo de anestesia propuesta_local,0.005529971941211187,permutation_importance
score_proc_low_severity,0.00516873656057566,permutation_importance
score_proc_high_severity,0.004531437489729395,permutation_importance
score_dx_medium_severity,0.004488647325862916,permutation_importance
Dx Preoperatorio Code_Z,0.0043150932233049,permutation_importance
score_proc_critical,0.004224901131662717,permutation_importance
Examen_Hemoglobina(g/dl),0.004184796298680094,permutation_importance
score_dx_moderate_severity,0.003443411467705615,permutation_importance
Antecedente hematológicos _negativo,0.0030609269470327936,permutation_importance
score_dx_critical,0.0027700355602023885,permutation_importance
Dx Preoperatorio Code_A,0.002556201494386645,permutation_importance
Dx Preoperatorio Code_H,0.0023132374261570997,permutation_importance
Sexo_encoded,0.00218720200489142,permutation_importance
score_dx_high_severity,0.0020582477457085522,permutation_importance
anio,0.0016217063468087823,permutation_importance
Hora_decimal,0.0014970135909850191,permutation_importance
Dx Preoperatorio Code_K,0.0014422561916579645,permutation_importance
