Feature,Importance,Source
Tipo de anestesia propuesta_raquidea,0.04998632524435771,permutation_importance
Tipo de anestesia propuesta_sedacion,0.04839585046326329,permutation_importance
Tipo de anestesia propuesta_peridural,0.026698610428832658,permutation_importance
Dx Preoperatorio Code_S,0.009202512185418454,permutation_importance
score_dx_low_severity,0.008783658944297135,permutation_importance
score_proc_medium_severity,0.007381157325071763,permutation_importance
Tipo de anestesia propuesta_local,0.007334864555704579,permutation_importance
Edad,0.006866974837573925,permutation_importance
score_proc_moderate_severity,0.006831423391742098,permutation_importance
score_dx_medium_severity,0.0047833915787437896,permutation_importance
Dx Preoperatorio Code_Z,0.004717192334781251,permutation_importance
score_proc_low_severity,0.004668681248597028,permutation_importance
Examen_Hemoglobina(g/dl),0.004611413648661156,permutation_importance
score_proc_high_severity,0.0043436978348935,permutation_importance
score_proc_critical,0.00406967733122463,permutation_importance
Antecedente hematológicos _negativo,0.003552751136084553,permutation_importance
score_dx_moderate_severity,0.003030862916485222,permutation_importance
Dx Preoperatorio Code_H,0.002804127587075378,permutation_importance
score_dx_high_severity,0.002687549200661543,permutation_importance
score_dx_critical,0.0025268963616976283,permutation_importance
Dx Preoperatorio Code_A,0.0025197743971796527,permutation_importance
Sexo_encoded,0.0019616342106483662,permutation_importance
Tipo de anestesia propuesta_general,0.0019426617641864264,permutation_importance
Dx Preoperatorio Code_K,0.0016718519822265022,permutation_importance
Procedimiento propuesto Code_A,0.0016423133425042201,permutation_importance
