Feature,Importance,Source
Tipo de anestesia propuesta_sedacion,0.04862702242630727,permutation_importance
Tipo de anestesia propuesta_raquidea,0.047223937039498544,permutation_importance
Tipo de anestesia propuesta_peridural,0.024523638354814414,permutation_importance
Dx Preoperatorio Code_S,0.009082431193504003,permutation_importance
score_proc_medium_severity,0.008613373940206382,permutation_importance
score_dx_low_severity,0.008434799436430728,permutation_importance
score_proc_moderate_severity,0.006704512319101341,permutation_importance
Edad,0.005911872694300402,permutation_importance
score_proc_low_severity,0.005752329013745006,permutation_importance
Tipo de anestesia propuesta_local,0.005372208751785124,permutation_importance
Dx Preoperatorio Code_Z,0.004618331294524958,permutation_importance
score_dx_medium_severity,0.004518682168030974,permutation_importance
Examen_Hemoglobina(g/dl),0.004268537758525093,permutation_importance
score_proc_critical,0.004107126021702645,permutation_importance
score_dx_moderate_severity,0.0039042084096973404,permutation_importance
score_proc_high_severity,0.003874990842145887,permutation_importance
Dx Preoperatorio Code_H,0.003362063454952535,permutation_importance
Antecedente hematológicos _negativo,0.0028869933955453673,permutation_importance
score_dx_critical,0.0026723712434919555,permutation_importance
Tipo de anestesia propuesta_general,0.002657864619043471,permutation_importance
Dx Preoperatorio Code_A,0.0021144061872357955,permutation_importance
Sexo_encoded,0.0019806650338686895,permutation_importance
Dx Preoperatorio Code_K,0.0016540470709314637,permutation_importance
Procedimiento propuesto Code_A,0.0014551866436311345,permutation_importance
anio,0.0011631860983922105,permutation_importance
