Feature,SHAP_TP,SHAP_FN,SHAP_FP,SHAP_TN,Delta_TP_FN,AbsDelta,N_TP,N_FN,N_FP,N_TN
Tipo de anestesia propuesta_raquidea,0.9671692664146112,-0.08410167534040096,-0.08410167534040096,-0.08410167534040096,1.0512709417550121,1.0512709417550121,10,10,10,10
Procedimiento propuesto Code_L,0.2846953788755179,-0.01498396730923778,0.022475950963856663,-0.01498396730923778,0.29967934618475567,0.29967934618475567,10,10,10,10
Puntaje Mallampati,0.24909340443638178,-0.029891208532365814,-0.04981868088727636,-0.049818680887276354,0.2789846129687476,0.2789846129687476,10,10,10,10
Dx Preoperatorio Code_O,0.24591084101244523,0.0,0.0,0.0,0.24591084101244523,0.24591084101244523,10,10,10,10
Grupo Sanguíneo_Sin Dato,0.1771461210160756,-0.05904870700535851,-0.05904870700535851,-0.05904870700535851,0.2361948280214341,0.2361948280214341,10,10,10,10
RH_Sin Dato,0.17787534573349825,-0.053131596777538426,-0.053131596777538426,-0.053131596777538426,0.23100694251103668,0.23100694251103668,10,10,10,10
Tipo de anestesia propuesta_general,0.154529678754417,-0.007187426918810096,-0.007187426918810099,-0.007187426918810096,0.1617171056732271,0.1617171056732271,10,10,10,10
Procedimiento propuesto Code_NO ENCONTRADO,0.0819429278254601,-0.03277717113018404,-0.01638858556509202,-0.049165756695276064,0.11472009895564414,0.11472009895564414,10,10,10,10
Grupo Sanguíneo_O,0.08375208384873686,-0.026086714641409832,-0.026086714641409832,-0.026086714641409832,0.10983879849014669,0.10983879849014669,10,10,10,10
Tipo de anestesia propuesta_sedacion,0.12435095355427994,0.020725158925713315,0.12435095355427994,-0.9119069927313863,0.10362579462856662,0.10362579462856662,10,10,10,10
IMC,-0.07095993980695053,-0.01960282921019593,0.025229713592232035,-0.047326668795029045,-0.0513571105967546,0.0513571105967546,10,10,10,10
Dx Preoperatorio Code_Z,0.04545986514010184,-0.0023926244810579915,-0.0023926244810579915,-0.0023926244810579915,0.04785248962115983,0.04785248962115983,10,10,10,10
Talla (cm),0.013739888102413106,-0.028775178743353412,-0.0003483254576512329,9.193121610078237e-05,0.042515066845766517,0.042515066845766517,10,10,10,10
Examen_Hemoglobina(g/dl),0.0259902953488933,-0.015180359346754102,-0.07239701279557689,-0.1019554315514263,0.0411706546956474,0.0411706546956474,10,10,10,10
Respuesta Motora_encoded,0.03292437753213971,-0.008231094383034931,0.019205886893748168,-0.035668075659818034,0.04115547191517464,0.04115547191517464,10,10,10,10
predicted_label_proc_encoded,0.004681464019618559,-0.026528296111171884,-0.021326669422706807,-0.04733480286503217,0.031209760130790444,0.031209760130790444,10,10,10,10
Sexo_encoded,-0.018807256154588003,0.01088841145791937,-0.003959422348334316,0.0009898555870835797,-0.029695667612507373,0.029695667612507373,10,10,10,10
score_proc_high_severity,0.03147117659704723,0.00605880189787566,0.011898764710594147,-0.006229989560724992,0.02541237469917157,0.02541237469917157,10,10,10,10
Temperatura,-0.02730527226429117,-0.0019422496092370845,-0.011783720563327207,-0.01801455900107231,-0.025363022655054086,0.025363022655054086,10,10,10,10
Procedimiento propuesto Code_S,0.01971429501349751,-0.0034789932376760304,-0.0034789932376760304,-0.0034789932376760304,0.02319328825117354,0.02319328825117354,10,10,10,10
