Feature,SHAP_TP,SHAP_FN,SHAP_FP,SHAP_TN,Delta_TP_FN,AbsDelta,N_TP,N_FN,N_FP,N_TN
Tipo de anestesia propuesta_raquidea,0.17893229577152062,-0.007982027687571707,-0.01122992775309288,-0.011355305196723096,0.1869143234590923,0.1869143234590923,10,10,10,10
Dx Preoperatorio Code_O,0.08053820183678322,0.0,0.0,0.0,0.08053820183678322,0.08053820183678322,10,10,10,10
Tipo de anestesia propuesta_general,0.07526833117324624,-0.0007845220470196247,-0.0012804646972083534,-0.0008692696324634622,0.07605285322026586,0.07605285322026586,10,10,10,10
score_proc_critical,0.0649937436265667,-0.00441231072866142,0.0007177955873516152,-0.002311446637234697,0.06940605435522812,0.06940605435522812,10,10,10,10
score_proc_high_severity,0.044078617658746,-0.0024715163650243744,0.0016207333182794176,-0.004954539634712987,0.046550134023770375,0.046550134023770375,10,10,10,10
Procedimiento propuesto Code_L,0.04554679714039625,-0.000781041226499834,-0.0010194057509012567,-0.0012358417574458009,0.046327838366896086,0.046327838366896086,10,10,10,10
score_proc_medium_severity,0.031643983642279126,-0.0026975297841654736,0.005371876067802995,-0.003410598781390814,0.0343415134264446,0.0343415134264446,10,10,10,10
Tipo de anestesia propuesta_sedacion,0.018019682422294413,-0.0064978883308670615,-0.0014178006348666995,-0.06456098913266302,0.024517570753161473,0.024517570753161473,10,10,10,10
Edad,0.01892647656753983,-0.0025052366291908627,-0.0047765683495735855,-0.003286837578734326,0.021431713196730692,0.021431713196730692,10,10,10,10
Dx Preoperatorio Code_S,0.015611576377178457,-0.00271138125799147,0.0016046948859812567,0.0027081295168825186,0.018322957635169928,0.018322957635169928,10,10,10,10
score_proc_low_severity,0.016556411276035486,-0.0016929041822976345,-0.0011324238087784008,-0.005424798400928559,0.01824931545833312,0.01824931545833312,10,10,10,10
score_proc_moderate_severity,0.01784309252516231,-0.0001826474152052695,-0.002440910485283374,-0.0025511629181885465,0.01802573994036758,0.01802573994036758,10,10,10,10
IMC,0.01322966095238517,0.0011003974288118414,-0.003298668946820171,-0.0030680890433693797,0.012129263523573328,0.012129263523573328,10,10,10,10
predicted_label_proc_encoded,0.01184229673188617,0.00013437630588995571,-0.00013409016098888407,-0.0007166102537853129,0.011707920425996214,0.011707920425996214,10,10,10,10
score_dx_medium_severity,0.011910369725090752,0.00039596121432394684,0.0015108750784902775,-0.0033873423118213537,0.011514408510766804,0.011514408510766804,10,10,10,10
Sexo_encoded,0.01302587282176619,0.0019428331187360853,-0.001217983868887573,-0.0018670346084247176,0.011083039703030106,0.011083039703030106,10,10,10,10
Procedimiento propuesto Code_NO ENCONTRADO,0.010946548249244743,2.5221864936764267e-06,0.0005394495956118454,-0.0009177026357520051,0.010944026062751067,0.010944026062751067,10,10,10,10
score_dx_moderate_severity,0.006953822449505005,-0.0014682428367756208,0.002819993091961813,-0.0020984392081597027,0.008422065286280627,0.008422065286280627,10,10,10,10
score_dx_high_severity,0.006786041089562755,-0.0015895568242919465,0.003163409064488322,-0.003315575224996068,0.008375597913854702,0.008375597913854702,10,10,10,10
score_dx_low_severity,0.005938761719190032,-0.002031556548694944,0.0005937300059526769,-0.003857402336849698,0.007970318267884975,0.007970318267884975,10,10,10,10
