Feature,SHAP_TP,SHAP_FN,Delta_TP_FN,Interpretacion
Tipo de anestesia propuesta_raquidea,0.2003415659326866,-0.03345645891686932,0.23379802484955592,"Protege al FN (baja riesgo −0.033), eleva al TP (+0.200)"
Dx Preoperatorio Code_O,0.08981482298147132,-0.0024176057369716887,0.09223242871844302,"Protege al FN (baja riesgo −0.002), eleva al TP (+0.090)"
score_proc_moderate_severity,0.07390579958679096,-0.0029390111519490307,0.07684481073873999,"Protege al FN (baja riesgo −0.003), eleva al TP (+0.074)"
Tipo de anestesia propuesta_general,0.06842289229162435,-0.0054283029810502596,0.07385119527267461,"Protege al FN (baja riesgo −0.005), eleva al TP (+0.068)"
Examen_Hemoglobina(g/dl),0.024802945530685416,-0.01372016497964287,0.038523110510328286,"Protege al FN (baja riesgo −0.014), eleva al TP (+0.025)"
score_proc_critical,0.03181830283168,-0.006101547222639476,0.03791985005431948,"Protege al FN (baja riesgo −0.006), eleva al TP (+0.032)"
IMC,0.020074529619227538,-0.002906862894253557,0.022981392513481094,"Protege al FN (baja riesgo −0.003), eleva al TP (+0.020)"
Tipo de anestesia propuesta_peridural,-0.0006867871908177948,-0.01884186700567016,0.018155079814852367,"Protege al FN (baja riesgo −0.019), eleva al TP (+-0.001)"
Tipo de anestesia propuesta_sedacion,0.027011096034208336,0.0447696674084812,-0.017758571374272863,FN tiene mayor señal positiva (+0.045) — el modelo la ve pero no alcanza
score_proc_medium_severity,0.01995030021553095,0.005329820866580705,0.014620479348950246,Señal débil en FN (+0.005) vs fuerte en TP (+0.020)
