Feature,SHAP_TP,SHAP_FN,SHAP_FP,SHAP_TN,Delta_TP_FN,AbsDelta,N_TP,N_FN,N_FP,N_TN
Tipo de anestesia propuesta_raquidea,0.2606073646909054,-0.03854091492264837,-0.037816866768596955,-0.035121300500852985,0.2991482796135538,0.2991482796135538,10,10,10,10
Tipo de anestesia propuesta_general,0.09918286878117727,-0.007184169288116477,-0.009181899961194315,-0.0016865675062056932,0.10636703806929375,0.10636703806929375,10,10,10,10
Dx Preoperatorio Code_O,0.10867252658403079,0.0031484777949677455,-0.0028938167005013627,-0.0016735051348884527,0.10552404878906305,0.10552404878906305,10,10,10,10
score_proc_high_severity,0.03750008541052986,-0.0007947698507752513,-0.0024858100754536357,-0.0009224597408770448,0.03829485526130511,0.03829485526130511,10,10,10,10
Examen_Hemoglobina(g/dl),0.03885401381326717,0.0013306377896260414,0.01123577384236538,-0.003677681047796721,0.03752337602364113,0.03752337602364113,10,10,10,10
score_proc_critical,0.029041107989863237,-0.004402412062876751,-0.00063891646239978,-0.0029251225235067324,0.03344352005273999,0.03344352005273999,10,10,10,10
score_proc_moderate_severity,0.01898903530021715,-0.005308890391843567,-0.0065747216074811595,0.0010957437600028854,0.02429792569206072,0.02429792569206072,10,10,10,10
Sexo_encoded,0.016993366910561306,-0.002455592843035154,-0.0015281515781691885,-0.0010421024530393123,0.01944895975359646,0.01944895975359646,10,10,10,10
Tipo de anestesia propuesta_peridural,-0.002516263219429233,-0.0193077027199472,-0.01966002027579895,-0.009972080112836072,0.016791439500517966,0.016791439500517966,10,10,10,10
score_proc_medium_severity,0.015273933890304753,0.000578320275561836,-0.0056424349436538564,-0.0028230801305782283,0.014695613614742918,0.014695613614742918,10,10,10,10
Edad,0.006164662653387605,-0.00792339108356464,-0.00484772184187812,-0.000277218067400356,0.014088053736952245,0.014088053736952245,10,10,10,10
IMC,0.013343026634380301,-0.0005081850400361311,0.00033036670589027523,-0.0010955621524697634,0.013851211674416431,0.013851211674416431,10,10,10,10
score_dx_critical,0.007938100627188086,-0.0036513003694705138,-0.001963852714380967,-0.0008775758053184611,0.011589400996658599,0.011589400996658599,10,10,10,10
Tipo de anestesia propuesta_sedacion,0.03253353770346566,0.021788849858293078,0.02330349775183075,-0.07657216605209528,0.010744687845172584,0.010744687845172584,10,10,10,10
Tipo de anestesia propuesta_local,0.01419694958004429,0.004845073561812912,0.0046570909077019215,-0.035251907205295877,0.009351876018231378,0.009351876018231378,10,10,10,10
Grupo Sanguíneo_Sin Dato,0.004461312144929062,-0.0037751926329787954,0.0009501060197536774,-0.0005313488738520174,0.008236504777907858,0.008236504777907858,10,10,10,10
score_dx_medium_severity,0.01037987971033659,0.0022288362220246223,-0.00025246900788477233,0.0009802837113347149,0.008151043488311967,0.008151043488311967,10,10,10,10
Antecedente hematológicos _negativo,0.0024727971548007648,-0.004573152324088324,-0.004490332290212606,-0.0017429456350072773,0.007045949478889089,0.007045949478889089,10,10,10,10
score_dx_low_severity,0.004061231272545067,-0.0028498892263982257,-0.00828060605259202,-0.0020596688859977072,0.006911120498943293,0.006911120498943293,10,10,10,10
Dx Preoperatorio Code_K,0.003877676944484125,-0.0025483688802706247,-0.001345303131820825,-0.0008882749366213978,0.00642604582475475,0.00642604582475475,10,10,10,10
