Feature,SHAP_TP,SHAP_FN,SHAP_FP,SHAP_TN,Delta_TP_FN,AbsDelta,N_TP,N_FN,N_FP,N_TN
Tipo de anestesia propuesta_raquidea,0.2003415659326866,-0.03345645891686932,-0.038347170584074323,-0.03569967316771178,0.23379802484955592,0.23379802484955592,10,10,10,10
Dx Preoperatorio Code_O,0.08981482298147132,-0.0024176057369716887,0.0030709088069509278,-0.0024828641553074496,0.09223242871844302,0.09223242871844302,10,10,10,10
score_proc_moderate_severity,0.07390579958679096,-0.0029390111519490307,0.00033008265658712976,-0.003895806213520133,0.07684481073873999,0.07684481073873999,10,10,10,10
Tipo de anestesia propuesta_general,0.06842289229162435,-0.0054283029810502596,-0.0039006931670941525,-0.0008270686024515906,0.07385119527267461,0.07385119527267461,10,10,10,10
Examen_Hemoglobina(g/dl),0.024802945530685416,-0.01372016497964287,-0.0014275067034549983,-0.005400242556729738,0.038523110510328286,0.038523110510328286,10,10,10,10
score_proc_critical,0.03181830283168,-0.006101547222639476,-0.003641447261843704,-0.004639485496328687,0.03791985005431948,0.03791985005431948,10,10,10,10
IMC,0.020074529619227538,-0.002906862894253557,0.0017270199614009094,0.0007405619066952575,0.022981392513481094,0.022981392513481094,10,10,10,10
Tipo de anestesia propuesta_peridural,-0.0006867871908177948,-0.01884186700567016,-0.017301279709721548,-0.008899984398804819,0.018155079814852367,0.018155079814852367,10,10,10,10
Tipo de anestesia propuesta_sedacion,0.027011096034208336,0.0447696674084812,0.05132946720884156,-0.12119828682816798,-0.017758571374272863,0.017758571374272863,10,10,10,10
score_proc_medium_severity,0.01995030021553095,0.005329820866580705,-0.0153499475964329,-0.020425066206088083,0.014620479348950246,0.014620479348950246,10,10,10,10
score_dx_medium_severity,0.015496702436325893,0.0034525098905355558,-0.020647375740693537,0.003264044367706891,0.012044192545790337,0.012044192545790337,10,10,10,10
Grupo Sanguíneo_Sin Dato,0.0028119522249468462,-0.008860754698359057,-0.007263471792753442,0.00040056484736301174,0.011672706923305902,0.011672706923305902,10,10,10,10
Dx Preoperatorio Code_NO ENCONTRADO,0.0028648301344858683,-0.00760171228537603,-0.007878434300437007,0.00011089210669639024,0.010466542419861898,0.010466542419861898,10,10,10,10
score_dx_low_severity,0.001817449934453127,-0.008233416245220036,0.0018121423469385778,-0.006231971225838894,0.010050866179673162,0.010050866179673162,10,10,10,10
Frecuencia Respiratoria,0.0001795155393858733,-0.007954690135020082,0.002404963860231033,0.0008614369844982502,0.008134205674405955,0.008134205674405955,10,10,10,10
Edad,0.0016644839635544934,-0.005390486763073923,-0.008910699501603935,0.003037707581938349,0.007054970726628417,0.007054970726628417,10,10,10,10
Dx Preoperatorio Code_A,-0.0008159590711238222,-0.007688633901028784,-0.007297381838483066,-0.0022452944035699822,0.006872674829904962,0.006872674829904962,10,10,10,10
Sexo_encoded,0.004592143771529408,-0.002066911092487974,0.003812919456549041,-0.0006892024323286495,0.006659054864017382,0.006659054864017382,10,10,10,10
score_dx_critical,0.006771649656884189,0.0001826069013983524,-0.000957134503901026,-0.007736927916884781,0.006589042755485836,0.006589042755485836,10,10,10,10
Talla (cm),-0.000695565812505092,-0.006967329620791394,-0.00938014156042953,-0.001042556563397671,0.006271763808286302,0.006271763808286302,10,10,10,10
