Feature,SHAP_TP,SHAP_FN,SHAP_FP,SHAP_TN,Delta_TP_FN,AbsDelta,N_TP,N_FN,N_FP,N_TN
Tipo de anestesia propuesta_raquidea,1.3634597246495233,-0.22195855982666662,-0.22195855982666662,-0.22195855982666662,1.58541828447619,1.58541828447619,10,10,10,10
Grupo Sanguíneo_Sin Dato,0.2416145095460704,-0.10855144631779975,-0.10855144631779975,-0.10855144631779975,0.3501659558638701,0.3501659558638701,10,10,10,10
RH_Sin Dato,0.23911113780106424,-0.09766511262296994,-0.09766511262296994,-0.09766511262296994,0.3367762504240342,0.3367762504240342,10,10,10,10
Procedimiento propuesto Code_L,0.27408844407362565,-0.03536625084820976,-0.03536625084820976,-0.03536625084820976,0.3094546949218354,0.3094546949218354,10,10,10,10
Examen_Hemoglobina(g/dl),0.1643236042001933,-0.14363495417643163,0.07510750596018939,-0.14363495417643163,0.3079585583766249,0.3079585583766249,10,10,10,10
Dx Preoperatorio Code_O,0.2895594597749103,-0.009984808957755527,-0.009984808957755527,-0.009984808957755527,0.2995442687326659,0.2995442687326659,10,10,10,10
Tipo de anestesia propuesta_general,0.21445263034708145,-0.0536131575867704,-0.08339824513497616,-0.0536131575867704,0.26806578793385183,0.26806578793385183,10,10,10,10
IMC,0.27587747235998517,0.03475758536939634,-0.0011783202376726754,-0.043050250093903585,0.24111988699058884,0.24111988699058884,10,10,10,10
Procedimiento propuesto Code_NO ENCONTRADO,0.12031068309660006,-0.08020712206440005,-0.030077670774150012,-0.05514239641927503,0.2005178051610001,0.2005178051610001,10,10,10,10
Grupo Sanguíneo_O,0.12946644341599384,-0.037587031959482084,-0.037587031959482084,-0.037587031959482084,0.16705347537547593,0.16705347537547593,10,10,10,10
Tipo de anestesia propuesta_peridural,0.12153383250711243,-0.03038345812677811,-0.03038345812677811,-0.03038345812677811,0.15191729063389053,0.15191729063389053,10,10,10,10
Edad,-0.11470702274905262,0.009887150524270125,-0.004581850242954454,-0.10988402249331108,-0.12459417327332274,0.12459417327332274,10,10,10,10
Tensión Arterial Sistólica (mm/Hg),0.0018130010942048248,-0.08148313699604347,-0.010311942948660285,-0.1935673149666785,0.08329613809024829,0.08329613809024829,10,10,10,10
Antecedente hematológicos _negativo,0.039146982364962134,-0.0210791443503642,-0.0210791443503642,-0.0210791443503642,0.06022612671532633,0.06022612671532633,10,10,10,10
Tensión Arterial Diastólica (mm/Hg),0.0708602214203138,0.13054902047208042,0.09136042894001717,-0.25104631354701545,-0.05968879905176662,0.05968879905176662,10,10,10,10
Dx Preoperatorio Code_NO ENCONTRADO,0.04159532606816675,-0.013865108689388905,-0.06932554344694455,-0.04159532606816673,0.05546043475755566,0.05546043475755566,10,10,10,10
Procedimiento propuesto Code_S,0.03955109789171892,-1.3877787807814458e-18,-0.019775548945859468,-0.019775548945859468,0.03955109789171892,0.03955109789171892,10,10,10,10
Peso (Kg),0.04408749811196329,0.007451494709537161,-0.020277050022786902,0.018793567042260283,0.03663600340242613,0.03663600340242613,10,10,10,10
score_proc_high_severity,0.040428228666957916,0.008547072031339076,0.0140012060965024,-0.019631710614238775,0.03188115663561884,0.03188115663561884,10,10,10,10
Grupo Sanguíneo_A,0.015899257589626063,-0.013008483482421316,-0.013008483482421316,-0.013008483482421316,0.02890774107204738,0.02890774107204738,10,10,10,10
