Feature,SHAP_TP,SHAP_FN,SHAP_FP,SHAP_TN,Delta_TP_FN,AbsDelta,N_TP,N_FN,N_FP,N_TN
Tipo de anestesia propuesta_raquidea,0.20669506412681993,-0.031939770727580225,0.00042253498557777956,-0.02905382989953214,0.23863483485440015,0.23863483485440015,10,10,10,10
Tipo de anestesia propuesta_general,0.083046135051251,-0.006375402730627658,-0.0065039067233572025,0.003695611034019889,0.08942153778187865,0.08942153778187865,10,10,10,10
Dx Preoperatorio Code_O,0.07774420276631919,-0.0025962766026275405,-0.0025401873825131815,-0.0027913516782062118,0.08034047936894673,0.08034047936894673,10,10,10,10
score_proc_critical,0.05726946247612939,-0.0009094656278323881,-0.004106247489578924,-0.002939673821145539,0.05817892810396178,0.05817892810396178,10,10,10,10
score_proc_high_severity,0.04552500927009033,0.00017347683957430062,-0.00441253625041399,-0.0022411544529407357,0.04535153243051603,0.04535153243051603,10,10,10,10
score_proc_moderate_severity,0.03541444363505498,0.0004793195339330191,-0.0031560389046264244,-0.0037670455130629486,0.034935124101121956,0.034935124101121956,10,10,10,10
Procedimiento propuesto Code_L,0.02719529155260362,-0.001047397337935024,-0.0005739653777706053,-0.0012813608549447865,0.028242688890538645,0.028242688890538645,10,10,10,10
score_proc_medium_severity,0.026801371979572424,-0.001367524356900791,-0.002424187400612702,-0.0028899890234881298,0.028168896336473216,0.028168896336473216,10,10,10,10
Edad,0.019886098371359733,-0.005366355362234094,-0.004581931683669278,0.0025274665535151195,0.025252453733593826,0.025252453733593826,10,10,10,10
score_proc_low_severity,0.021429447405654257,-0.0005317786998971998,-0.002465417968246465,-0.0026517225842781276,0.021961226105551457,0.021961226105551457,10,10,10,10
Examen_Hemoglobina(g/dl),0.018883132739951347,-0.001200871425988652,-0.006456424726394713,-0.0033760491111747884,0.02008400416594,0.02008400416594,10,10,10,10
Sexo_encoded,0.015061625776234145,-0.0017925087290549622,-0.0017869407524771306,-0.0008880833515251416,0.01685413450528911,0.01685413450528911,10,10,10,10
IMC,0.011134196385951886,-0.00261345989696045,0.00041250865561958273,-0.0007529211728668986,0.013747656282912336,0.013747656282912336,10,10,10,10
Procedimiento propuesto Code_NO ENCONTRADO,0.011366078845676064,0.0003488245227529135,9.727470520397925e-05,-0.0010925760596439571,0.01101725432292315,0.01101725432292315,10,10,10,10
Tipo de anestesia propuesta_peridural,-0.005453027773132618,-0.014488051774966152,-0.01391474015497846,-0.010949451237542235,0.009035024001833534,0.009035024001833534,10,10,10,10
score_dx_low_severity,0.007122307040728591,-0.0016020596933982445,-0.003913970789296075,-0.0016101439359131088,0.008724366734126836,0.008724366734126836,10,10,10,10
score_dx_medium_severity,0.008312658988781483,-0.000369612544647552,-0.0019416710404814488,-0.0009441133754412454,0.008682271533429035,0.008682271533429035,10,10,10,10
Tipo de anestesia propuesta_sedacion,0.02671948199348755,0.01867490666975604,0.010445211173931667,-0.07610106976898372,0.008044575323731509,0.008044575323731509,10,10,10,10
Tipo de anestesia propuesta_local,0.011618328715476082,0.004477178486811738,0.005055100188225311,-0.04300516786997046,0.007141150228664344,0.007141150228664344,10,10,10,10
predicted_label_proc_encoded,0.007442328532272832,0.0003685394494041265,-0.0014358363784073424,-0.0008073432453167424,0.007073789082868705,0.007073789082868705,10,10,10,10
