Feature,SHAP_TP,SHAP_FN,SHAP_FP,SHAP_TN,Delta_TP_FN,AbsDelta,N_TP,N_FN,N_FP,N_TN
Tipo de anestesia propuesta_sedacion,0.030861906539890765,-0.20032455185759193,-0.1037825386250866,-0.12478912626432637,0.2311864583974827,0.2311864583974827,10,10,10,10
Tipo de anestesia propuesta_raquidea,0.16156437600018428,-0.048254576767947456,0.00711572995129414,-0.0385504685450733,0.20981895276813173,0.20981895276813173,10,10,10,10
Dx Preoperatorio Code_O,0.06997586977548537,-0.002003929476732529,-0.002255793535876687,-0.0018555231065191078,0.0719797992522179,0.0719797992522179,10,10,10,10
Tipo de anestesia propuesta_general,0.05857813253713081,-0.0028887095530838913,-0.008093489206544185,0.0016255092473726582,0.061466842090214704,0.061466842090214704,10,10,10,10
Tipo de anestesia propuesta_peridural,0.026382669863007358,-0.01386828350982785,-0.015281408814604902,-0.010895587284269431,0.040250953372835206,0.040250953372835206,10,10,10,10
Tipo de anestesia propuesta_local,0.009760478837810534,-0.027123258467232424,-0.028876777506986855,-0.06628963050654299,0.036883737305042956,0.036883737305042956,10,10,10,10
score_proc_moderate_severity,0.036660132787245114,0.004852395529872558,0.0012451139545910448,0.002111172111338876,0.031807737257372556,0.031807737257372556,10,10,10,10
score_proc_critical,0.02995043405465054,0.00010954179313210333,-0.008734317170333763,-0.0052276047443164005,0.029840892261518436,0.029840892261518436,10,10,10,10
Examen_Hemoglobina(g/dl),0.015185964266158031,-0.014049137856673286,-0.01177290691573506,-0.0011139817272450719,0.029235102122831317,0.029235102122831317,10,10,10,10
score_proc_low_severity,0.011062235278860313,-0.0069310013876084774,0.0025081718644697723,-0.010463921994484579,0.017993236666468793,0.017993236666468793,10,10,10,10
score_proc_medium_severity,0.015888977055069736,-0.001617448440637722,-0.005295127798855301,-0.01778285941920544,0.017506425495707457,0.017506425495707457,10,10,10,10
score_dx_medium_severity,0.014365463849758642,-0.0024150014198058836,-0.00417857922778647,0.003853710964481504,0.016780465269564525,0.016780465269564525,10,10,10,10
score_proc_high_severity,0.01703127600392591,0.0016183580203281514,-0.009510639150857373,-0.004651411445482845,0.015412917983597759,0.015412917983597759,10,10,10,10
score_dx_critical,0.010833714815882575,-0.00450199932801331,-0.007894401543088916,-0.004072746574035967,0.015335714143895885,0.015335714143895885,10,10,10,10
Procedimiento propuesto Code_A,-0.00015586673402919797,0.011380699244317501,-0.0002462692920681507,-5.8643036004912906e-05,-0.0115365659783467,0.0115365659783467,10,10,10,10
Procedimiento propuesto Code_S,0.00593973605615859,-0.00255091279990998,-0.002989277907165453,-0.00015014631674328311,0.00849064885606857,0.00849064885606857,10,10,10,10
score_dx_high_severity,0.0015383811357954367,0.009132195830400558,0.004058673346836631,-0.005053056759033562,-0.007593814694605122,0.007593814694605122,10,10,10,10
Edad,0.010932062386577053,0.003891345579909216,-0.007871959724818448,0.0009325694923919131,0.0070407168066678365,0.0070407168066678365,10,10,10,10
Antecedente hematológicos _negativo,0.0022721593724792655,-0.004527420361290305,0.0001255567862616146,-0.0024914094366199034,0.00679957973376957,0.00679957973376957,10,10,10,10
Sexo_encoded,0.009219828600717711,0.003710141117867377,0.003527983843463336,-0.0025631844937297177,0.005509687482850334,0.005509687482850334,10,10,10,10
